stadium_name_in_ds,stadium_name_in_stadium_ds
Winner Stadium (Netanya),Netanya
HaMoshava Stadium (PÃ©taá¸¥-Tiqva (Petach-Tikva)),HaMoshava
Yaakov Turner Toto Stadium (Beâ€™Ã©r ShÃ©va (Beer Sheva) ),Turner
Sammy Ofer Stadium (Haifa),Sammy Ofer
Doha Stadium (Sakhnin),Doha
Teddi Malcha Stadium (Jerusalem),Teddy
Acre Municipal Stadium ('Akko (Accre)),Acre Municipal
Kiryat-Shmona Municipal Stadium (Kiryat-Shmona),Kiryat Shmona Municipal
Yud-Alef Stadium (AÅ¡dod (Ashdod)),Yud-Alef
Levita Stadium (Kfar-Saba),Levita
Sela Stadium (Ashkelon),Sala
National Stadium Ramat Gan (Ramat Gan),Ramat Gan
Bloomfield Stadium,Bloomfield
HaMoshava Stadium,HaMoshava
Sammy Ofer Stadium,Sammy Ofer
Teddi Malcha Stadium,Teddy
Winner Stadium,Netanya
Yud-Alef Stadium,Yud-Alef
Yaakov Turner Toto Stadium,Turner
Kiryat-Shmona Municipal Stadium,Kiryat Shmona Municipal
Lod Municipal Stadium,Lod Municipal
Netanya Stadium,Netanya
National Stadium Ramat Gan,Ramat Gan
Levita Stadium,Levita
Bloomfield,Bloomfield
Afula Illit Stadium,Afula Illit
Toto Turner Stadium,Turner
Doha Stadium,Doha
Green Stadium,Green
