match_date,kot,round_type,season_round,home_team,away_team,home_score,away_score,referee,stadium,attendance,season
18/09/2012,8:45 pm,Regular round,Group A,GNK Dinamo Zagreb,FC Porto,0,2,Daniele Orsato,Maksimir,4683,2012
18/09/2012,8:45 pm,Regular round,Group A,Paris Saint-Germain,Dynamo Kyiv,4,1,Björn Kuipers,Parc des Princes,42536,2012
03/10/2012,8:45 pm,Regular round,Group A,FC Porto,Paris Saint-Germain,1,0,Howard Webb,Estádio do Dragão,36509,2012
03/10/2012,8:45 pm,Regular round,Group A,Dynamo Kyiv,GNK Dinamo Zagreb,2,0,Martin Atkinson,NSK Olimpisky,47804,2012
24/10/2012,8:45 pm,Regular round,Group A,FC Porto,Dynamo Kyiv,3,2,Pavel Kralovec,Estádio do Dragão,29765,2012
24/10/2012,8:45 pm,Regular round,Group A,GNK Dinamo Zagreb,Paris Saint-Germain,0,2,Firat Aydinus,Maksimir,9326,2012
06/11/2012,8:45 pm,Regular round,Group A,Paris Saint-Germain,GNK Dinamo Zagreb,4,0,Pawel Gil,Parc des Princes,39872,2012
06/11/2012,8:45 pm,Regular round,Group A,Dynamo Kyiv,FC Porto,0,0,Undiano Mallenco,NSK Olimpisky,40370,2012
21/11/2012,8:45 pm,Regular round,Group A,FC Porto,GNK Dinamo Zagreb,3,0,Paolo Tagliavento,Estádio do Dragão,27603,2012
21/11/2012,8:45 pm,Regular round,Group A,Dynamo Kyiv,Paris Saint-Germain,0,2,Wolfgang Stark,NSK Olimpisky,36712,2012
04/12/2012,8:45 pm,Regular round,Group A,GNK Dinamo Zagreb,Dynamo Kyiv,1,1,Stanislav Todorov,Maksimir,3663,2012
04/12/2012,8:45 pm,Regular round,Group A,Paris Saint-Germain,FC Porto,2,1,Craig Thomson,Parc des Princes,45512,2012
18/09/2012,8:45 pm,Regular round,Group B,Montpellier HSC,Arsenal FC,1,2,Carlos Velasco Carballo,Stade de la Mosson,27522,2012
18/09/2012,8:45 pm,Regular round,Group B,Olympiacos Piraeus,FC Schalke 04,1,2,David Fernández Borbalán,Stadio Georgios Karaiskakis,30922,2012
03/10/2012,8:45 pm,Regular round,Group B,Arsenal FC,Olympiacos Piraeus,3,1,Svein Oddvar Moen,Emirates Stadium,60034,2012
03/10/2012,8:45 pm,Regular round,Group B,FC Schalke 04,Montpellier HSC,2,2,Sergey Karasev,Veltins-Arena,50004,2012
24/10/2012,8:45 pm,Regular round,Group B,Arsenal FC,FC Schalke 04,0,2,Jonas Eriksson,Emirates Stadium,60049,2012
24/10/2012,8:45 pm,Regular round,Group B,Montpellier HSC,Olympiacos Piraeus,1,2,Daniele Orsato,Stade de la Mosson,22834,2012
06/11/2012,8:45 pm,Regular round,Group B,Olympiacos Piraeus,Montpellier HSC,3,1,Marijo Strahonja,Stadio Georgios Karaiskakis,28217,2012
06/11/2012,8:45 pm,Regular round,Group B,FC Schalke 04,Arsenal FC,2,2,Nicola Rizzoli,Veltins-Arena,54142,2012
21/11/2012,8:45 pm,Regular round,Group B,Arsenal FC,Montpellier HSC,2,0,Firat Aydinus,Emirates Stadium,59670,2012
21/11/2012,8:45 pm,Regular round,Group B,FC Schalke 04,Olympiacos Piraeus,1,0,Björn Kuipers,Veltins-Arena,52254,2012
04/12/2012,8:45 pm,Regular round,Group B,Montpellier HSC,FC Schalke 04,1,1,Mateu Lahoz,Stade de la Mosson,23142,2012
04/12/2012,8:45 pm,Regular round,Group B,Olympiacos Piraeus,Arsenal FC,2,1,Undiano Mallenco,Stadio Georgios Karaiskakis,30000,2012
18/09/2012,8:45 pm,Regular round,Group C,Málaga CF,Zenit St. Petersburg,3,0,Mark Clattenburg,La Rosaleda,23670,2012
18/09/2012,8:45 pm,Regular round,Group C,AC Milan,RSC Anderlecht,0,0,Willie Collum,Giuseppe Meazza,27600,2012
03/10/2012,6:00 pm,Regular round,Group C,Zenit St. Petersburg,AC Milan,2,3,Dr. Felix Brych,Petrovsky,21703,2012
03/10/2012,8:45 pm,Regular round,Group C,RSC Anderlecht,Málaga CF,0,3,Viktor Kassai,Constant Vanden Stock Stadion,15711,2012
24/10/2012,6:00 pm,Regular round,Group C,Zenit St. Petersburg,RSC Anderlecht,1,0,Ivan Bebek,Petrovsky,18034,2012
24/10/2012,8:45 pm,Regular round,Group C,Málaga CF,AC Milan,1,0,Pedro Proença,La Rosaleda,27683,2012
06/11/2012,8:45 pm,Regular round,Group C,AC Milan,Málaga CF,1,1,Howard Webb,Giuseppe Meazza,30891,2012
06/11/2012,8:45 pm,Regular round,Group C,RSC Anderlecht,Zenit St. Petersburg,1,0,Antony Gautier,Constant Vanden Stock Stadion,16437,2012
21/11/2012,6:00 pm,Regular round,Group C,Zenit St. Petersburg,Málaga CF,2,2,Olegário Benquerença,Petrovsky,18347,2012
21/11/2012,8:45 pm,Regular round,Group C,RSC Anderlecht,AC Milan,1,3,Damir Skomina,Constant Vanden Stock Stadion,19803,2012
04/12/2012,8:45 pm,Regular round,Group C,Málaga CF,RSC Anderlecht,2,2,Deniz Aytekin,La Rosaleda,21769,2012
04/12/2012,8:45 pm,Regular round,Group C,AC Milan,Zenit St. Petersburg,0,1,Tony Chapron,Giuseppe Meazza,29508,2012
18/09/2012,8:45 pm,Regular round,Group D,Real Madrid,Manchester City,3,2,Damir Skomina,Santiago Bernabéu,70381,2012
18/09/2012,8:45 pm,Regular round,Group D,Borussia Dortmund,Ajax Amsterdam,1,0,Paolo Tagliavento,SIGNAL IDUNA PARK,65829,2012
03/10/2012,8:45 pm,Regular round,Group D,Ajax Amsterdam,Real Madrid,1,4,Jonas Eriksson,Johan Cruijff ArenA,49491,2012
03/10/2012,8:45 pm,Regular round,Group D,Manchester City,Borussia Dortmund,1,1,Pavel Kralovec,Etihad Stadium,43657,2012
24/10/2012,8:45 pm,Regular round,Group D,Borussia Dortmund,Real Madrid,2,1,Viktor Kassai,SIGNAL IDUNA PARK,65829,2012
24/10/2012,8:45 pm,Regular round,Group D,Ajax Amsterdam,Manchester City,3,1,Svein Oddvar Moen,Johan Cruijff ArenA,45743,2012
06/11/2012,8:45 pm,Regular round,Group D,Real Madrid,Borussia Dortmund,2,2,Cüneyt Cakir,Santiago Bernabéu,74932,2012
06/11/2012,8:45 pm,Regular round,Group D,Manchester City,Ajax Amsterdam,2,2,Peter Rasmussen,Etihad Stadium,40222,2012
21/11/2012,8:45 pm,Regular round,Group D,Ajax Amsterdam,Borussia Dortmund,1,4,Pedro Proença,Johan Cruijff ArenA,47500,2012
21/11/2012,8:45 pm,Regular round,Group D,Manchester City,Real Madrid,1,1,Gianluca Rocchi,Etihad Stadium,45740,2012
04/12/2012,8:45 pm,Regular round,Group D,Real Madrid,Ajax Amsterdam,4,1,Pavel Kralovec,Santiago Bernabéu,57245,2012
