match_date,kot,round_type,season_round,home_team,away_team,home_position,away_position,underdog,home_score,away_score,referee,stadium,attendance,season
20/08/2022,5:30 PM,Regular round,1,Hapoel Haifa,Hapoel Tel Aviv,3,11,Hapoel Tel Aviv,2,0,Orel Grinfeld,Sammy Ofer Stadium,7450,2022
20/08/2022,7:00 PM,Regular round,1,Hapoel Jerusalem,Hapoel Hadera,7,8,Hapoel Hadera,1,1,Aviad Shiloah,HaMoshava Stadium,1390,2022
20/08/2022,7:30 PM,Regular round,1,Maccabi Netanya,Beitar Jerusalem,2,13,Beitar Jerusalem,4,1,Roi Reinshreiber,Netanya Stadium,10050,2022
21/08/2022,7:15 PM,Regular round,1,Maccabi Tel Aviv,Maccabi Bnei Reineh,1,14,Maccabi Bnei Reineh,5,0,Igal Frid,Bloomfield,17750,2022
22/08/2022,6:00 PM,Regular round,1,Sekzia Ness Ziona,Ironi Kiryat Shmona,12,4,Sekzia Ness Ziona,0,2,Yoav Mizrahi,HaMoshava Stadium,250,2022
30/08/2022,7:15 PM,Regular round,1,Ihud Bnei Sakhnin,Maccabi Haifa,10,6,Ihud Bnei Sakhnin,0,1,Gal Leibovitz,Doha Stadium,4213,2022
31/08/2022,6:45 PM,Regular round,1,Hapoel Beer Sheva,FC Ashdod,9,5,Hapoel Beer Sheva,1,2,David Fucsman,Toto Jacob Turner Stadium,11045,2022
27/08/2022,5:00 PM,Regular round,2,Ironi Kiryat Shmona,Hapoel Jerusalem,5,9,Hapoel Jerusalem,1,1,Nael Odeh,Kiryat Shmona Municipal Stadium,1292,2022
27/08/2022,6:15 PM,Regular round,2,Hapoel Tel Aviv,Ihud Bnei Sakhnin,13,7,Hapoel Tel Aviv,0,2,Roi Reinshreiber,Bloomfield,9900,2022
27/08/2022,7:00 PM,Regular round,2,Maccabi Haifa,Maccabi Netanya,2,8,Maccabi Netanya,4,1,Snir Levi,Sammy Ofer Stadium,28284,2022
27/08/2022,7:15 PM,Regular round,2,FC Ashdod,Sekzia Ness Ziona,3,12,Sekzia Ness Ziona,1,0,Ohad Asulin,Yud-Alef Stadion,621,2022
28/08/2022,6:15 PM,Regular round,2,Maccabi Bnei Reineh,Hapoel Haifa,10,4,Maccabi Bnei Reineh,1,1,Shalom Ben Avraham,Green Stadium,1316,2022
28/08/2022,7:15 PM,Regular round,2,Beitar Jerusalem,Hapoel Beer Sheva,14,6,Beitar Jerusalem,0,5,Orel Grinfeld,HaMoshava Stadium,10005,2022
29/08/2022,7:15 PM,Regular round,2,Hapoel Hadera,Maccabi Tel Aviv,11,1,Hapoel Hadera,0,6,Idan Leiba,Netanya Stadium,8820,2022
03/09/2022,5:00 PM,Regular round,3,Maccabi Tel Aviv,Ironi Kiryat Shmona,1,7,Ironi Kiryat Shmona,3,1,Snir Levi,Bloomfield,24880,2022
03/09/2022,6:00 PM,Regular round,3,Hapoel Jerusalem,FC Ashdod,5,4,Hapoel Jerusalem,3,0,Niv Steif,HaMoshava Stadium,1209,2022
03/09/2022,7:00 PM,Regular round,3,Hapoel Haifa,Ihud Bnei Sakhnin,6,3,Hapoel Haifa,1,2,Aviad Shiloah,Sammy Ofer Stadium,3100,2022
03/09/2022,7:15 PM,Regular round,3,Hapoel Beer Sheva,Maccabi Haifa,9,2,Hapoel Beer Sheva,1,2,Igal Frid,Toto Jacob Turner Stadium,14425,2022
04/09/2022,6:00 PM,Regular round,3,Maccabi Bnei Reineh,Hapoel Hadera,13,8,Maccabi Bnei Reineh,1,2,Gal Levi,Green Stadium,766,2022
04/09/2022,7:15 PM,Regular round,3,Sekzia Ness Ziona,Beitar Jerusalem,14,12,Sekzia Ness Ziona,0,3,Idan Leiba,HaMoshava Stadium,4833,2022
05/09/2022,7:15 PM,Regular round,3,Maccabi Netanya,Hapoel Tel Aviv,10,11,Hapoel Tel Aviv,0,2,Eitan Shmuelevic,Netanya Stadium,8256,2022
10/09/2022,5:00 PM,Regular round,4,Maccabi Haifa,Sekzia Ness Ziona,1,14,Sekzia Ness Ziona,3,1,Erez Papir,Sammy Ofer Stadium,28456,2022
10/09/2022,6:30 PM,Regular round,4,Hapoel Hadera,Hapoel Haifa,9,7,Hapoel Hadera,1,1,Nael Odeh,Netanya Stadium,989,2022
10/09/2022,6:30 PM,Regular round,4,Ihud Bnei Sakhnin,Maccabi Netanya,4,10,Maccabi Netanya,0,0,Shalom Ben Avraham,Doha Stadium,3180,2022
10/09/2022,7:15 PM,Regular round,4,FC Ashdod,Maccabi Tel Aviv,5,2,FC Ashdod,0,0,Orel Grinfeld,Yud-Alef Stadion,6054,2022
11/09/2022,7:15 PM,Regular round,4,Hapoel Tel Aviv,Hapoel Beer Sheva,11,6,Hapoel Tel Aviv,2,3,Gal Leibovitz,Bloomfield,10700,2022
11/09/2022,7:45 PM,Regular round,4,Ironi Kiryat Shmona,Maccabi Bnei Reineh,8,13,Maccabi Bnei Reineh,1,1,Ohad Asulin,Kiryat Shmona Municipal Stadium,1700,2022
12/09/2022,7:30 PM,Regular round,4,Beitar Jerusalem,Hapoel Jerusalem,12,3,Beitar Jerusalem,0,1,Eitan Shmuelevic,Teddy-Kollek-Stadion,19000,2022
17/09/2022,5:00 PM,Regular round,5,Sekzia Ness Ziona,Hapoel Tel Aviv,13,11,Sekzia Ness Ziona,4,3,Snir Levi,HaMoshava Stadium,4903,2022
17/09/2022,6:30 PM,Regular round,5,Maccabi Bnei Reineh,FC Ashdod,12,5,Maccabi Bnei Reineh,1,1,Yoav Mizrahi,Green Stadium,1061,2022
17/09/2022,7:00 PM,Regular round,5,Hapoel Haifa,Maccabi Netanya,7,10,Maccabi Netanya,0,0,Igal Frid,Sammy Ofer Stadium,2750,2022
17/09/2022,7:30 PM,Regular round,5,Maccabi Tel Aviv,Beitar Jerusalem,1,14,Beitar Jerusalem,4,0,Roi Reinshreiber,Bloomfield,26043,2022
18/09/2022,6:00 PM,Regular round,5,Hapoel Hadera,Ironi Kiryat Shmona,9,8,Hapoel Hadera,1,1,Niv Steif,Netanya Stadium,500,2022
18/09/2022,7:00 PM,Regular round,5,Hapoel Beer Sheva,Ihud Bnei Sakhnin,4,6,Ihud Bnei Sakhnin,1,0,Idan Leiba,Toto Jacob Turner Stadium,10409,2022
18/09/2022,7:15 PM,Regular round,5,Hapoel Jerusalem,Maccabi Haifa,3,2,Hapoel Jerusalem,3,0,Aviad Shiloah,Teddy-Kollek-Stadion,6831,2022
01/10/2022,5:00 PM,Regular round,6,Ironi Kiryat Shmona,Hapoel Haifa,8,7,Ironi Kiryat Shmona,1,1,David Fucsman,Kiryat Shmona Municipal Stadium,2048,2022
01/10/2022,6:15 PM,Regular round,6,FC Ashdod,Hapoel Hadera,6,9,Hapoel Hadera,1,1,Gal Leibovitz,Yud-Alef Stadion,695,2022
01/10/2022,7:00 PM,Regular round,6,Maccabi Netanya,Hapoel Beer Sheva,11,4,Maccabi Netanya,1,2,Roi Reinshreiber,Netanya Stadium,5190,2022
