League,TeamA,TeamB,posTeamA,posTeamB,rounds,matchDate,matchHour,scoreTeamA,scoreTeamB,stadium,attendance,referee,underdog,Season_Year
Bundesliga,Bayern Munich,Hamburger SV,1,18,1,14/08/2015,20:30:00,5,0,Allianz Arena,75.024,Bastian Dankert,Hamburger SV,2015
Bundesliga,SV Werder Bremen,FC Schalke 04,16,3,1,15/08/2015,15:30:00,0,3,Wohninvest-Weserstadion,42.1,Daniel Siebert,SV Werder Bremen,2015
Bundesliga,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,5,12,1,15/08/2015,15:30:00,2,1,BayArena,27.125,Robert Hartmann,TSG 1899 Hoffenheim,2015
Bundesliga,SV Darmstadt 98,Hannover 96,10,9,1,15/08/2015,15:30:00,2,2,Merck-Stadion am Böllenfalltor,17,Dr. Felix Brych,SV Darmstadt 98,2015
Bundesliga,1.FSV Mainz 05,FC Ingolstadt 04,13,8,1,15/08/2015,15:30:00,0,1,Mewa Arena,27.152,Guido Winkmann,1.FSV Mainz 05,2015
Bundesliga,FC Augsburg,Hertha BSC,14,7,1,15/08/2015,15:30:00,0,1,WWK ARENA,28.13,Tobias Welz,FC Augsburg,2015
Bundesliga,Borussia Dortmund,Borussia Mönchengladbach,2,17,1,15/08/2015,18:30:00,4,0,SIGNAL IDUNA PARK,81.359,Tobias Stieler,Borussia Mönchengladbach,2015
Bundesliga,VfL Wolfsburg,Eintracht Frankfurt,6,11,1,16/08/2015,15:30:00,2,1,Volkswagen Arena,29.126,Christian Dingert,Eintracht Frankfurt,2015
Bundesliga,VfB Stuttgart,1. FC Köln,15,4,1,16/08/2015,17:30:00,1,3,Mercedes-Benz Arena,59.5,Wolfgang Stark,VfB Stuttgart,2015
Bundesliga,Hertha BSC,SV Werder Bremen,7,15,2,21/08/2015,20:30:00,1,1,Olympiastadion Berlin,56.376,Sascha Stegemann,SV Werder Bremen,2015
