match_date,kot,round_type,season_round,home_team,away_team,home_score,away_score,referee,stadium,attendance,season
7/9/22,6:45 PM,Regular round,Group A                                                    |,Ajax Amsterdam,Rangers FC,4,0,Tobias Stieler,Johan Cruijff ArenA,52862,2022
7/9/22,9:00 PM,Regular round,Group A                                                    |,SSC Napoli,Liverpool FC,4,1,Carlos del Cerro Grande,Stadio Diego Armando Maradona,51793,2022
13/9/22,9:00 PM,Regular round,Group A                                                    |,Liverpool FC,Ajax Amsterdam,2,1,Artur Soares Dias,Anfield,52387,2022
14/9/22,9:00 PM,Regular round,Group A                                                    |,Rangers FC,SSC Napoli,0,3,Mateu Lahoz,Ibrox Stadium,50121,2022
4/10/22,9:00 PM,Regular round,Group A                                                    |,Ajax Amsterdam,SSC Napoli,1,6,François Letexier,Johan Cruijff ArenA,52896,2022
4/10/22,9:00 PM,Regular round,Group A                                                    |,Liverpool FC,Rangers FC,2,0,Clément Turpin,Anfield,49512,2022
12/10/22,6:45 PM,Regular round,Group A                                                    |,SSC Napoli,Ajax Amsterdam,4,2,Felix Zwayer,Stadio Diego Armando Maradona,52229,2022
12/10/22,9:00 PM,Regular round,Group A                                                    |,Rangers FC,Liverpool FC,1,7,Slavko Vincic,Ibrox Stadium,48820,2022
26/10/22,9:00 PM,Regular round,Group A                                                    |,Ajax Amsterdam,Liverpool FC,0,3,José María Sánchez Martínez,Johan Cruijff ArenA,53327,2022
26/10/22,9:00 PM,Regular round,Group A                                                    |,SSC Napoli,Rangers FC,3,0,Halil Umut Meler,Stadio Diego Armando Maradona,39835,2022
1/11/22,9:00 PM,Regular round,Group A                                                    |,Liverpool FC,SSC Napoli,2,0,Tobias Stieler,Anfield,52077,2022
1/11/22,9:00 PM,Regular round,Group A                                                    |,Rangers FC,Ajax Amsterdam,1,3,Glenn Nyberg,Ibrox Stadium,48817,2022
7/9/22,9:00 PM,Regular round,Group B                                                    |,Club Brugge KV,Bayer 04 Leverkusen,1,0,Irfan Peljto,Jan-Breydel-Stadion,21235,2022
7/9/22,9:00 PM,Regular round,Group B                                                    |,Atlético de Madrid,FC Porto,2,1,Szymon Marciniak,Civitas Metropolitano,51777,2022
13/9/22,9:00 PM,Regular round,Group B                                                    |,Bayer 04 Leverkusen,Atlético de Madrid,2,0,Michael Oliver,BayArena,25825,2022
13/9/22,9:00 PM,Regular round,Group B                                                    |,FC Porto,Club Brugge KV,0,4,Anastasios Sidiropoulos,Estádio do Dragão,39225,2022
4/10/22,9:00 PM,Regular round,Group B                                                    |,FC Porto,Bayer 04 Leverkusen,2,0,Anthony Taylor,Estádio do Dragão,42399,2022
4/10/22,9:00 PM,Regular round,Group B                                                    |,Club Brugge KV,Atlético de Madrid,2,0,Istvan Kovacs,Jan-Breydel-Stadion,25667,2022
12/10/22,6:45 PM,Regular round,Group B                                                    |,Atlético de Madrid,Club Brugge KV,0,0,Danny Makkelie,Civitas Metropolitano,60810,2022
12/10/22,9:00 PM,Regular round,Group B                                                    |,Bayer 04 Leverkusen,FC Porto,0,3,Istvan Kovacs,BayArena,30210,2022
26/10/22,6:45 PM,Regular round,Group B                                                    |,Club Brugge KV,FC Porto,0,4,Michael Oliver,Jan-Breydel-Stadion,26144,2022
26/10/22,9:00 PM,Regular round,Group B                                                    |,Atlético de Madrid,Bayer 04 Leverkusen,2,2,Clément Turpin,Civitas Metropolitano,63803,2022
1/11/22,6:45 PM,Regular round,Group B                                                    |,Bayer 04 Leverkusen,Club Brugge KV,0,0,Maurizio Mariani,BayArena,30210,2022
1/11/22,6:45 PM,Regular round,Group B                                                    |,FC Porto,Atlético de Madrid,2,1,Daniele Orsato,Estádio do Dragão,47546,2022
7/9/22,9:00 PM,Regular round,Group C                                                    |,FC Barcelona,FC Viktoria Plzen,5,1,Lawrence Visser,Spotify Camp Nou,77411,2022
7/9/22,9:00 PM,Regular round,Group C                                                    |,Inter Milan,Bayern Munich,0,2,Clément Turpin,Giuseppe Meazza,58951,2022
13/9/22,6:45 PM,Regular round,Group C                                                    |,FC Viktoria Plzen,Inter Milan,0,2,Sandro Schärer,Doosan Aréna,11252,2022
13/9/22,9:00 PM,Regular round,Group C                                                    |,Bayern Munich,FC Barcelona,2,0,Danny Makkelie,Allianz Arena,75000,2022
4/10/22,6:45 PM,Regular round,Group C                                                    |,Bayern Munich,FC Viktoria Plzen,5,0,Nikola Dabanovic,Allianz Arena,75000,2022
4/10/22,9:00 PM,Regular round,Group C                                                    |,Inter Milan,FC Barcelona,1,0,Slavko Vincic,Giuseppe Meazza,71368,2022
12/10/22,9:00 PM,Regular round,Group C                                                    |,FC Viktoria Plzen,Bayern Munich,2,4,Bartosz Frankowski,Doosan Aréna,11326,2022
12/10/22,9:00 PM,Regular round,Group C                                                    |,FC Barcelona,Inter Milan,3,3,Szymon Marciniak,Spotify Camp Nou,92302,2022
26/10/22,6:45 PM,Regular round,Group C                                                    |,Inter Milan,FC Viktoria Plzen,4,0,Andreas Ekberg,Giuseppe Meazza,71849,2022
26/10/22,9:00 PM,Regular round,Group C                                                    |,FC Barcelona,Bayern Munich,0,3,Anthony Taylor,Spotify Camp Nou,84016,2022
1/11/22,9:00 PM,Regular round,Group C                                                    |,FC Viktoria Plzen,FC Barcelona,2,4,Radu Petrescu,Doosan Aréna,11258,2022
1/11/22,9:00 PM,Regular round,Group C                                                    |,Bayern Munich,Inter Milan,2,0,Ivan Kruzliak,Allianz Arena,75000,2022
7/9/22,6:45 PM,Regular round,Group D                                                    |,Eintracht Frankfurt,Sporting CP,0,3,Orel Grinfeld,Commerzbank Arena,50500,2022
7/9/22,9:00 PM,Regular round,Group D                                                    |,Tottenham Hotspur,Olympique Marseille,2,0,Slavko Vincic,Tottenham Hotspur Stadium,57367,2022
13/9/22,6:45 PM,Regular round,Group D                                                    |,Sporting CP,Tottenham Hotspur,2,0,Srdjan Jovanovic,Estádio José Alvalade XXI,39899,2022
13/9/22,9:00 PM,Regular round,Group D                                                    |,Olympique Marseille,Eintracht Frankfurt,0,1,José María Sánchez Martínez,Orange Vélodrome,62500,2022
4/10/22,6:45 PM,Regular round,Group D                                                    |,Olympique Marseille,Sporting CP,4,1,Davide Massa,Orange Vélodrome,618,2022
4/10/22,9:00 PM,Regular round,Group D                                                    |,Eintracht Frankfurt,Tottenham Hotspur,0,0,Daniele Orsato,Commerzbank Arena,50500,2022
12/10/22,9:00 PM,Regular round,Group D                                                    |,Tottenham Hotspur,Eintracht Frankfurt,3,2,Carlos del Cerro Grande,Tottenham Hotspur Stadium,55180,2022
12/10/22,9:00 PM,Regular round,Group D                                                    |,Sporting CP,Olympique Marseille,0,2,Alejandro Hernández Hernández,Estádio José Alvalade XXI,38126,2022
26/10/22,9:00 PM,Regular round,Group D                                                    |,Tottenham Hotspur,Sporting CP,1,1,Danny Makkelie,Tottenham Hotspur Stadium,59588,2022
26/10/22,9:00 PM,Regular round,Group D                                                    |,Eintracht Frankfurt,Olympique Marseille,2,1,Jesús Gil Manzano,Commerzbank Arena,48700,2022
1/11/22,9:00 PM,Regular round,Group D                                                    |,Olympique Marseille,Tottenham Hotspur,1,2,Szymon Marciniak,Orange Vélodrome,50768,2022
1/11/22,9:00 PM,Regular round,Group D                                                    |,Sporting CP,Eintracht Frankfurt,1,2,Slavko Vincic,Estádio José Alvalade XXI,41744,2022
6/9/22,6:45 PM,Regular round,Group E                                                    |,GNK Dinamo Zagreb,Chelsea FC,1,0,Istvan Kovacs,Maksimir,20607,2022
