club,clubs_city,stadium,year
Ironi Kiryat Shmona,Kiryat Shmona,Kiryat Shmona Municipal,2012
Bnei Yehuda Tel Aviv,Tel Aviv,Bloomfield,2012
Hapoel Tel Aviv,Tel Aviv,Bloomfield,2012
Hapoel Ramat haSharon,Ramat haSharon,Grundman,2012
Maccabi Haifa,Haifa,Kiryat Eliezer,2012
Maccabi Tel Aviv,Tel Aviv,Bloomfield,2012
FC Ashdod,Ashdod,Yud-Alef,2012
Beitar Jerusalem,Jerusalem,Teddy,2012
Hapoel Acre,Acre,Giv'at Napoleon,2012
Hapoel Beer Sheva,Beer Sheva,Vasermil,2012
Hapoel Ramat Gan,Ramat Gan,Ramat Gan,2012
Hapoel Haifa,Haifa,Kiryat Eliezer,2012
Maccabi Netanya,Netanya,Netanya,2012
Ihud Bnei Sakhnin,Sakhnin,Doha,2012
Ihud Bnei Sakhnin,Sakhnin,Doha,2013
Ironi Kiryat Shmona,Kiryat Shmona,Kiryat Shmona Municipal,2013
Maccabi Haifa,Haifa,Kiryat Eliezer,2013
Hapoel Tel Aviv,Tel Aviv,Bloomfield,2013
Hapoel Beer Sheva,Beer Sheva,Vasermil,2013
Maccabi Tel Aviv,Tel Aviv,Bloomfield,2013
Beitar Jerusalem,Jerusalem,Teddy,2013
FC Ashdod,Ashdod,Yud-Alef,2013
Hapoel Ramat haSharon,Ramat haSharon,Grundman,2013
Hapoel Haifa,Haifa,Kiryat Eliezer,2013
Hapoel Acre,Acre,Acre Municipal,2013
Hapoel Raanana,Raanana,Netanya,2013
Maccabi Petah Tikva,Petah Tikva,HaMoshava,2013
Bnei Yehuda Tel Aviv,Tel Aviv,Bloomfield,2013
Ironi Kiryat Shmona,Kiryat Shmona,Kiryat Shmona Municipal,2014
Maccabi Petah Tikva,Petah Tikva,HaMoshava,2014
Beitar Jerusalem,Jerusalem,Teddy,2014
Maccabi Haifa,Haifa,Sammy Ofer,2014
Hapoel Beer Sheva,Beer Sheva,Vasermil,2014
Maccabi Tel Aviv,Tel Aviv,Bloomfield,2014
Ihud Bnei Sakhnin,Sakhnin,Doha,2014
FC Ashdod,Ashdod,Yud-Alef,2014
Hapoel Raanana,Raanana,Netanya,2014
Maccabi Netanya,Netanya,Netanya,2014
Hapoel Petah Tikva,Petah Tikva,HaMoshava,2014
Hapoel Tel Aviv,Tel Aviv,Bloomfield,2014
Hapoel Acre,Acre,Acre Municipal,2014
Hapoel Haifa,Haifa,Sammy Ofer,2014
Ihud Bnei Sakhnin,Sakhnin,Doha,2015
Maccabi Haifa,Haifa,Sammy Ofer,2015
Beitar Jerusalem,Jerusalem,Teddy,2015
Hapoel Raanana,Raanana,Netanya,2015
Maccabi Tel Aviv,Tel Aviv,Bloomfield,2015
Hapoel Beer Sheva,Beer Sheva,Turner,2015
Bnei Yehuda Tel Aviv,Tel Aviv,Bloomfield,2015
Ironi Kiryat Shmona,Kiryat Shmona,Kiryat Shmona Municipal,2015
Hapoel Kfar Saba,Kfar Saba,Levita,2015
Maccabi Petah Tikva,Petah Tikva,HaMoshava,2015
Maccabi Netanya,Netanya,Netanya,2015
Hapoel Tel Aviv,Tel Aviv,Bloomfield,2015
Hapoel Acre,Acre,Acre Municipal,2015
Hapoel Haifa,Haifa,Sammy Ofer,2015
Ihud Bnei Sakhnin,Sakhnin,Doha,2016
Maccabi Petah Tikva,Petah Tikva,HaMoshava,2016
Beitar Jerusalem,Jerusalem,Teddy,2016
Hapoel Beer Sheva,Beer Sheva,Turner,2016
Maccabi Haifa,Haifa,Sammy Ofer,2016
Maccabi Tel Aviv,Tel Aviv,Netanya,2016
Hapoel Tel Aviv,Tel Aviv,HaMoshava,2016
Ironi Kiryat Shmona,Kiryat Shmona,Kiryat Shmona Municipal,2016
FC Ashdod,Ashdod,Yud-Alef,2016
Hapoel Haifa,Haifa,Sammy Ofer,2016
Hapoel Raanana,Raanana,Netanya,2016
Bnei Yehuda Tel Aviv,Tel Aviv,HaMoshava,2016
Hapoel Ashkelon,Ashkelon,Sala,2016
Hapoel Kfar Saba,Kfar Saba,Levita,2016
Hapoel Haifa,Haifa,Sammy Ofer,2017
Maccabi Tel Aviv,Tel Aviv,Netanya,2017
Maccabi Netanya,Netanya,Netanya,2017
Bnei Yehuda Tel Aviv,Tel Aviv,HaMoshava,2017
Hapoel Beer Sheva,Beer Sheva,Turner,2017
Beitar Jerusalem,Jerusalem,Teddy,2017
Ironi Kiryat Shmona,Kiryat Shmona,Kiryat Shmona Municipal,2017
Ihud Bnei Sakhnin,Sakhnin,Doha,2017
Hapoel Raanana,Raanana,Netanya,2017
Maccabi Petah Tikva,Petah Tikva,HaMoshava,2017
Maccabi Haifa,Haifa,Sammy Ofer,2017
Hapoel Acre,Acre,Acre Municipal,2017
FC Ashdod,Ashdod,Yud-Alef,2017
Hapoel Ashkelon,Ashkelon,Sala,2017
Maccabi Tel Aviv,Tel Aviv,Netanya,2018
Hapoel Hadera,Hadera,Netanya,2018
Maccabi Haifa,Haifa,Sammy Ofer,2018
Bnei Yehuda Tel Aviv,Tel Aviv,HaMoshava,2018
Hapoel Beer Sheva,Beer Sheva,Turner,2018
Maccabi Netanya,Netanya,Netanya,2018
Beitar Jerusalem,Jerusalem,Teddy,2018
Hapoel Haifa,Haifa,Sammy Ofer,2018
Hapoel Tel Aviv,Tel Aviv,HaMoshava,2018
Ironi Kiryat Shmona,Kiryat Shmona,Kiryat Shmona Municipal,2018
Hapoel Raanana,Raanana,Ramat Gan,2018
Ihud Bnei Sakhnin,Sakhnin,Doha,2018
Maccabi Petah Tikva,Petah Tikva,HaMoshava,2018
FC Ashdod,Ashdod,Yud-Alef,2018
Sekzia Ness Ziona,Ness Ziona,HaMoshava,2019
Hapoel Haifa,Haifa,Sammy Ofer,2019
Maccabi Tel Aviv,Tel Aviv,Bloomfield,2019
Hapoel Beer Sheva,Beer Sheva,Turner,2019
Maccabi Haifa,Haifa,Sammy Ofer,2019
Hapoel Tel Aviv,Tel Aviv,Bloomfield,2019
Beitar Jerusalem,Jerusalem,Teddy,2019
Hapoel Raanana,Raanana,Ramat Gan,2019
Hapoel Hadera,Hadera,Netanya,2019
