season,clubs_name,round,promoted,game,win,draw,lose,goals,g_difference,pts,team_pos
2012,FC Ashdod,1,0,Regular,1,0,0,2:00,2,3,0
2012,Ironi Kiryat Shmona,1,0,Regular,1,0,0,3:02,1,3,1
2012,Maccabi Tel Aviv,1,0,Regular,1,0,0,2:01,1,3,2
2012,Hapoel Tel Aviv,1,0,Regular,1,0,0,1:00,1,3,3
2012,Hapoel Acre,1,0,Regular,0,1,0,1:01,0,1,4
2012,Bnei Yehuda Tel Aviv,1,0,Regular,0,1,0,1:01,0,1,5
2012,Hapoel Haifa,1,0,Regular,0,1,0,0:00,0,1,6
2012,Hapoel Beer Sheva,1,0,Regular,0,1,0,0:00,0,1,7
2012,Ihud Bnei Sakhnin,1,0,Regular,0,1,0,0:00,0,1,8
2012,Maccabi Netanya,1,0,Regular,0,1,0,0:00,0,1,9
2012,Beitar Jerusalem,1,0,Regular,0,0,1,2:03,-1,0,10
2012,Maccabi Haifa,1,0,Regular,0,0,1,1:02,-1,0,11
2012,Hapoel Ramat Gan,1,1,Regular,0,0,1,0:01,-1,0,12
2012,Hapoel Ramat haSharon,1,0,Regular,0,0,1,0:02,-2,0,13
2012,FC Ashdod,2,0,Regular,2,0,0,5:01,4,6,0
2012,Ironi Kiryat Shmona,2,0,Regular,2,0,0,6:03,3,6,1
2012,Hapoel Tel Aviv,2,0,Regular,2,0,0,3:00,3,6,2
2012,Maccabi Tel Aviv,2,0,Regular,2,0,0,3:01,2,6,3
2012,Bnei Yehuda Tel Aviv,2,0,Regular,1,1,0,2:01,1,4,4
2012,Hapoel Ramat haSharon,2,0,Regular,1,0,1,3:03,0,3,5
2012,Hapoel Beer Sheva,2,0,Regular,0,2,0,1:01,0,2,6
2012,Beitar Jerusalem,2,0,Regular,0,1,1,3:04,-1,1,7
2012,Maccabi Netanya,2,0,Regular,0,1,1,0:01,-1,1,8
2012,Hapoel Acre,2,0,Regular,0,1,1,2:04,-2,1,9
2012,Ihud Bnei Sakhnin,2,0,Regular,0,1,1,1:03,-2,1,10
2012,Hapoel Haifa,2,0,Regular,0,1,1,0:02,-2,1,11
2012,Hapoel Ramat Gan,2,1,Regular,0,0,2,0:02,-2,0,12
2012,Maccabi Haifa,2,0,Regular,0,0,2,2:05,-3,0,13
2012,FC Ashdod,3,0,Regular,3,0,0,7:02,5,9,0
2012,Hapoel Tel Aviv,3,0,Regular,3,0,0,5:00,5,9,1
2012,Maccabi Tel Aviv,3,0,Regular,3,0,0,6:02,4,9,2
2012,Ironi Kiryat Shmona,3,0,Regular,2,0,1,6:04,2,6,3
2012,Hapoel Acre,3,0,Regular,1,1,1,7:05,2,4,4
2012,Hapoel Ramat haSharon,3,0,Regular,1,1,1,4:04,0,4,5
2012,Maccabi Netanya,3,0,Regular,1,1,1,1:01,0,4,6
2012,Bnei Yehuda Tel Aviv,3,0,Regular,1,1,1,2:03,-1,4,7
2012,Hapoel Beer Sheva,3,0,Regular,0,3,0,2:02,0,3,8
2012,Beitar Jerusalem,3,0,Regular,0,1,2,4:06,-2,1,9
2012,Hapoel Ramat Gan,3,1,Regular,0,1,2,1:03,-2,1,10
2012,Maccabi Haifa,3,0,Regular,0,1,2,3:06,-3,1,11
2012,Hapoel Haifa,3,0,Regular,0,1,2,1:05,-4,1,12
2012,Ihud Bnei Sakhnin,3,0,Regular,0,1,2,2:08,-6,1,13
2012,Maccabi Tel Aviv,4,0,Regular,4,0,0,10:02,8,12,0
2012,FC Ashdod,4,0,Regular,4,0,0,8:02,6,12,1
2012,Hapoel Tel Aviv,4,0,Regular,3,0,1,5:01,4,9,2
2012,Hapoel Acre,4,0,Regular,2,1,1,8:05,3,7,3
2012,Bnei Yehuda Tel Aviv,4,0,Regular,2,1,1,5:04,1,7,4
2012,Hapoel Ramat haSharon,4,0,Regular,2,1,1,5:04,1,7,5
2012,Maccabi Netanya,4,0,Regular,2,1,1,3:02,1,7,6
2012,Ironi Kiryat Shmona,4,0,Regular,2,0,2,6:08,-2,6,7
2012,Hapoel Ramat Gan,4,1,Regular,1,1,2,4:04,0,4,8
2012,Hapoel Beer Sheva,4,0,Regular,0,3,1,3:04,-1,3,9
2012,Beitar Jerusalem,4,0,Regular,0,1,3,4:07,-3,1,10
2012,Maccabi Haifa,4,0,Regular,0,1,3,3:07,-4,1,11
2012,Hapoel Haifa,4,0,Regular,0,1,3,2:08,-6,1,12
2012,Ihud Bnei Sakhnin,4,0,Regular,0,1,3,3:11,-8,1,13
2012,FC Ashdod,5,0,Regular,5,0,0,11:02,9,15,0
2012,Maccabi Tel Aviv,5,0,Regular,4,0,1,11:05,6,12,1
2012,Hapoel Tel Aviv,5,0,Regular,4,0,1,6:01,5,12,2
2012,Hapoel Acre,5,0,Regular,2,2,1,8:05,3,8,3
2012,Bnei Yehuda Tel Aviv,5,0,Regular,2,2,1,7:06,1,8,4
2012,Hapoel Ramat haSharon,5,0,Regular,2,2,1,7:06,1,8,5
2012,Ironi Kiryat Shmona,5,0,Regular,2,1,2,7:09,-2,7,6
2012,Maccabi Netanya,5,0,Regular,2,1,2,3:05,-2,7,7
2012,Hapoel Beer Sheva,5,0,Regular,1,3,1,6:05,1,6,8
2012,Hapoel Ramat Gan,5,1,Regular,1,2,2,6:06,0,5,9
2012,Beitar Jerusalem,5,0,Regular,0,2,3,6:09,-3,2,10
2012,Maccabi Haifa,5,0,Regular,0,2,3,3:07,-4,2,11
2012,Hapoel Haifa,5,0,Regular,0,2,3,3:09,-6,2,12
2012,Ihud Bnei Sakhnin,5,0,Regular,0,1,4,3:12,-9,1,13
2012,FC Ashdod,6,0,Regular,5,0,1,12:04,8,15,0
2012,Maccabi Tel Aviv,6,0,Regular,5,0,1,13:06,7,15,1
2012,Hapoel Tel Aviv,6,0,Regular,4,0,2,8:04,4,12,2
2012,Hapoel Acre,6,0,Regular,3,2,1,11:06,5,11,3
2012,Hapoel Ramat haSharon,6,0,Regular,3,2,1,9:06,3,11,4
