season,clubs_name,round,promoted,game,win,draw,lose,goals,g_difference,pts,team_pos
22/23,Maccabi Tel Aviv,1,0,Regular,1,0,0,5:0,5,3,0
22/23,Maccabi Netanya,1,0,Regular,1,0,0,4:1,3,3,1
22/23,Ironi Kiryat Shmona,1,0,Regular,1,0,0,2:0,2,3,2
22/23,Hapoel Haifa,1,0,Regular,1,0,0,2:0,2,3,3
22/23,FC Ashdod,1,0,Regular,1,0,0,2:1,1,3,4
22/23,Maccabi Haifa,1,0,Regular,1,0,0,1:0,1,3,5
22/23,Hapoel Hadera,1,0,Regular,0,1,0,1:1,0,1,6
22/23,Hapoel Jerusalem,1,0,Regular,0,1,0,1:1,0,1,7
22/23,Hapoel Beer Sheva,1,0,Regular,0,0,1,1:2,-1,0,8
22/23,Ihud Bnei Sakhnin,1,0,Regular,0,0,1,0:1,-1,0,9
22/23,Hapoel Tel Aviv,1,0,Regular,0,0,1,0:2,-2,0,10
22/23,Sekzia Ness Ziona,1,0,Regular,0,0,1,0:2,-2,0,11
22/23,Beitar Jerusalem,1,0,Regular,0,0,1,1:4,-3,0,12
22/23,Maccabi Bnei Reineh,1,0,Regular,0,0,1,0:5,-5,0,13
22/23,Maccabi Tel Aviv,2,0,Regular,2,0,0,11:0,11,6,0
22/23,Maccabi Haifa,2,0,Regular,2,0,0,5:1,4,6,1
22/23,FC Ashdod,2,0,Regular,2,0,0,3:1,2,6,2
22/23,Ironi Kiryat Shmona,2,0,Regular,1,1,0,3:1,2,4,3
22/23,Hapoel Haifa,2,0,Regular,1,1,0,3:1,2,4,4
22/23,Hapoel Beer Sheva,2,0,Regular,1,0,1,6:2,4,3,5
22/23,Ihud Bnei Sakhnin,2,0,Regular,1,0,1,2:1,1,3,6
22/23,Maccabi Netanya,2,0,Regular,1,0,1,5:5,0,3,7
22/23,Hapoel Jerusalem,2,0,Regular,0,2,0,2:2,0,2,8
22/23,Maccabi Bnei Reineh,2,0,Regular,0,1,1,1:6,-5,1,9
22/23,Hapoel Hadera,2,0,Regular,0,1,1,1:7,-6,1,10
22/23,Sekzia Ness Ziona,2,0,Regular,0,0,2,0:3,-3,0,11
22/23,Hapoel Tel Aviv,2,0,Regular,0,0,2,0:4,-4,0,12
22/23,Beitar Jerusalem,2,0,Regular,0,0,2,1:9,-8,0,13
22/23,Maccabi Tel Aviv,3,0,Regular,3,0,0,14:1,13,9,0
22/23,Maccabi Haifa,3,0,Regular,3,0,0,7:2,5,9,1
22/23,Ihud Bnei Sakhnin,3,0,Regular,2,0,1,4:2,2,6,2
22/23,FC Ashdod,3,0,Regular,2,0,1,3:4,-1,6,3
22/23,Hapoel Jerusalem,3,0,Regular,1,2,0,5:2,3,5,4
22/23,Hapoel Haifa,3,0,Regular,1,1,1,4:3,1,4,5
22/23,Ironi Kiryat Shmona,3,0,Regular,1,1,1,4:4,0,4,6
22/23,Hapoel Hadera,3,0,Regular,1,1,1,3:8,-5,4,7
22/23,Hapoel Beer Sheva,3,0,Regular,1,0,2,7:4,3,3,8
22/23,Maccabi Netanya,3,0,Regular,1,0,2,5:7,-2,3,9
22/23,Hapoel Tel Aviv,3,0,Regular,1,0,2,2:4,-2,3,10
22/23,Beitar Jerusalem,3,0,Regular,1,0,2,4:9,-5,3,11
22/23,Maccabi Bnei Reineh,3,0,Regular,0,1,2,2:8,-6,1,12
22/23,Sekzia Ness Ziona,3,0,Regular,0,0,3,0:6,-6,0,13
22/23,Maccabi Haifa,4,0,Regular,4,0,0,10:3,7,12,0
22/23,Maccabi Tel Aviv,4,0,Regular,3,1,0,14:1,13,10,1
22/23,Hapoel Jerusalem,4,0,Regular,2,2,0,6:2,4,8,2
22/23,Ihud Bnei Sakhnin,4,0,Regular,2,1,1,4:2,2,7,3
22/23,FC Ashdod,4,0,Regular,2,1,1,3:4,-1,7,4
22/23,Hapoel Beer Sheva,4,0,Regular,2,0,2,10:6,4,6,5
22/23,Hapoel Haifa,4,0,Regular,1,2,1,5:4,1,5,6
22/23,Ironi Kiryat Shmona,4,0,Regular,1,2,1,5:5,0,5,7
22/23,Hapoel Hadera,4,0,Regular,1,2,1,4:9,-5,5,8
22/23,Maccabi Netanya,4,0,Regular,1,1,2,5:7,-2,4,9
22/23,Hapoel Tel Aviv,4,0,Regular,1,0,3,4:7,-3,3,10
22/23,Beitar Jerusalem,4,0,Regular,1,0,3,4:10,-6,3,11
22/23,Maccabi Bnei Reineh,4,0,Regular,0,2,2,3:9,-6,2,12
22/23,Sekzia Ness Ziona,4,0,Regular,0,0,4,1:9,-8,0,13
22/23,Maccabi Tel Aviv,5,0,Regular,4,1,0,18:1,17,13,0
22/23,Maccabi Haifa,5,0,Regular,4,0,1,10:6,4,12,1
22/23,Hapoel Jerusalem,5,0,Regular,3,2,0,9:2,7,11,2
22/23,Hapoel Beer Sheva,5,0,Regular,3,0,2,11:6,5,9,3
22/23,FC Ashdod,5,0,Regular,2,2,1,4:5,-1,8,4
22/23,Ihud Bnei Sakhnin,5,0,Regular,2,1,2,4:3,1,7,5
22/23,Hapoel Haifa,5,0,Regular,1,3,1,5:4,1,6,6
22/23,Ironi Kiryat Shmona,5,0,Regular,1,3,1,6:6,0,6,7
22/23,Hapoel Hadera,5,0,Regular,1,3,1,5:10,-5,6,8
22/23,Maccabi Netanya,5,0,Regular,1,2,2,5:7,-2,5,9
22/23,Hapoel Tel Aviv,5,0,Regular,1,0,4,7:11,-4,3,10
22/23,Maccabi Bnei Reineh,5,0,Regular,0,3,2,4:10,-6,3,11
22/23,Sekzia Ness Ziona,5,0,Regular,1,0,4,5:12,-7,3,12
22/23,Beitar Jerusalem,5,0,Regular,1,0,4,4:14,-10,3,13
22/23,Maccabi Haifa,6,0,Regular,5,0,1,12:6,6,15,0
22/23,Hapoel Jerusalem,6,0,Regular,4,2,0,12:3,9,14,1
22/23,Maccabi Tel Aviv,6,0,Regular,4,1,1,18:3,15,13,2
22/23,Hapoel Beer Sheva,6,0,Regular,4,0,2,13:7,6,12,3
22/23,Ihud Bnei Sakhnin,6,0,Regular,3,1,2,6:3,3,10,4
22/23,FC Ashdod,6,0,Regular,2,3,1,5:6,-1,9,5
22/23,Hapoel Haifa,6,0,Regular,1,4,1,6:5,1,7,6
22/23,Ironi Kiryat Shmona,6,0,Regular,1,4,1,7:7,0,7,7
22/23,Hapoel Hadera,6,0,Regular,1,4,1,6:11,-5,7,8
22/23,Maccabi Bnei Reineh,6,0,Regular,1,3,2,7:12,-5,6,9
22/23,Maccabi Netanya,6,0,Regular,1,2,3,6:9,-3,5,10
22/23,Hapoel Tel Aviv,6,0,Regular,1,0,5,8:14,-6,3,11
22/23,Sekzia Ness Ziona,6,0,Regular,1,0,5,5:14,-9,3,12
22/23,Beitar Jerusalem,6,0,Regular,1,0,5,6:17,-11,3,13
22/23,Maccabi Tel Aviv,7,0,Regular,5,1,1,21:3,18,16,0
22/23,Maccabi Haifa,7,0,Regular,5,0,2,12:7,5,15,1
22/23,Hapoel Jerusalem,7,0,Regular,4,2,1,13:5,8,14,2
22/23,Hapoel Beer Sheva,7,0,Regular,4,1,2,15:9,6,13,3
22/23,Ihud Bnei Sakhnin,7,0,Regular,4,1,2,8:4,4,13,4
22/23,FC Ashdod,7,0,Regular,2,4,1,6:7,-1,10,5
22/23,Hapoel Hadera,7,0,Regular,2,4,1,8:12,-4,10,6
22/23,Maccabi Bnei Reineh,7,0,Regular,2,3,2,8:12,-4,9,7
22/23,Hapoel Haifa,7,0,Regular,1,5,1,8:7,1,8,8
22/23,Ironi Kiryat Shmona,7,0,Regular,1,5,1,8:8,0,8,9
22/23,Maccabi Netanya,7,0,Regular,1,3,3,7:10,-3,6,10
22/23,Sekzia Ness Ziona,7,0,Regular,1,1,5,6:15,-9,4,11
22/23,Hapoel Tel Aviv,7,0,Regular,1,0,6,8:17,-9,3,12
22/23,Beitar Jerusalem,7,0,Regular,1,0,6,7:19,-12,3,13
22/23,Maccabi Tel Aviv,8,0,Regular,6,1,1,22:3,19,19,0
22/23,Maccabi Haifa,8,0,Regular,6,0,2,13:7,6,18,1
22/23,Hapoel Jerusalem,8,0,Regular,5,2,1,15:5,10,17,2
22/23,Hapoel Beer Sheva,8,0,Regular,4,2,2,16:10,6,14,3
22/23,FC Ashdod,8,0,Regular,3,4,1,10:7,3,13,4
22/23,Ihud Bnei Sakhnin,8,0,Regular,4,1,3,8:5,3,13,5
22/23,Hapoel Hadera,8,0,Regular,2,4,2,8:13,-5,10,6
22/23,Maccabi Bnei Reineh,8,0,Regular,2,3,3,8:14,-6,9,7
22/23,Ironi Kiryat Shmona,8,0,Regular,1,5,2,8:10,-2,8,8
22/23,Hapoel Haifa,8,0,Regular,1,5,2,8:11,-3,8,9
22/23,Maccabi Netanya,8,0,Regular,1,3,4,7:12,-5,6,10
22/23,Hapoel Tel Aviv,8,0,Regular,2,0,6,10:17,-7,6,11
22/23,Beitar Jerusalem,8,0,Regular,2,0,6,9:19,-10,6,12
22/23,Sekzia Ness Ziona,8,0,Regular,1,2,5,7:16,-9,5,13
22/23,Maccabi Tel Aviv,9,0,Regular,7,1,1,25:3,22,22,0
22/23,Maccabi Haifa,9,0,Regular,7,0,2,16:9,7,21,1
22/23,Hapoel Beer Sheva,9,0,Regular,5,2,2,20:11,9,17,2
22/23,Hapoel Jerusalem,9,0,Regular,5,2,2,16:9,7,17,3
22/23,FC Ashdod,9,0,Regular,3,4,2,10:9,1,13,4
22/23,Ihud Bnei Sakhnin,9,0,Regular,4,1,4,8:7,1,13,5
22/23,Maccabi Bnei Reineh,9,0,Regular,3,3,3,10:14,-4,12,6
