League,TeamA,TeamB,posTeamA,posTeamB,rounds,matchDate,matchHour,scoreTeamA,scoreTeamB,stadium,attendance,referee,underdog,Season_Year
League 1,LOSC Lille,Paris Saint-Germain,19,6,1,07/08/2015,20:30:00,0,1,Decathlon Arena-Stade Pierre-Mauroy,39.601,Fredy Fautrel,LOSC Lille,2015
League 1,SC Bastia,Stade Rennais FC,4,14,1,08/08/2015,21:00:00,2,1,Stade Armand-Cesari,14.702,Sébastien Moreira,Stade Rennais FC,2015
League 1,ESTAC Troyes,GFC Ajaccio,10,12,1,08/08/2015,21:00:00,0,0,Stade de l'Aube,10.858,Jérôme Miguelgorry,GFC Ajaccio,2015
League 1,FC Nantes,EA Guingamp,7,18,1,08/08/2015,21:00:00,1,0,Stade de la Beaujoire,27.248,Benoît Bastien,EA Guingamp,2015
League 1,OGC Nice,AS Monaco,15,2,1,08/08/2015,21:00:00,1,2,Allianz Riviera,25.173,Lionel Jaffredo,OGC Nice,2015
League 1,Montpellier HSC,Angers SCO,20,1,1,08/08/2015,21:00:00,0,2,Stade de la Mosson,11.789,Hakim Ben El Hadj,Montpellier HSC,2015
League 1,Olympique Marseille,SM Caen,17,8,1,08/08/2015,21:00:00,0,1,Orange Vélodrome,60.458,Frank Schneider,Olympique Marseille,2015
League 1,FC Toulouse,AS Saint-Étienne,3,16,1,09/08/2015,17:00:00,2,1,Stadium Municipal,15.158,Bartolomeu Varela,AS Saint-Étienne,2015
League 1,FC Girondins Bordeaux,Stade Reims,13,5,1,09/08/2015,17:00:00,1,2,Matmut Atlantique,31.583,Ruddy Buquet,FC Girondins Bordeaux,2015
League 1,Olympique Lyon,FC Lorient,9,11,1,09/08/2015,21:00:00,0,0,Stade de Gerland,28.116,Benoît Millot,FC Lorient,2015
League 1,AS Monaco,LOSC Lille,6,16,2,14/08/2015,20:30:00,0,0,Stade Louis-II,13.284,Benoît Millot,LOSC Lille,2015
League 1,AS Saint-Étienne,FC Girondins Bordeaux,15,14,2,15/08/2015,17:00:00,1,1,Stade Geoffroy-Guichard,34.063,Nicolas Rainville,AS Saint-Étienne,2015
League 1,Angers SCO,FC Nantes,4,7,2,15/08/2015,20:00:00,0,0,Stade Raymond Kopa,15.969,Amaury Delerue,FC Nantes,2015
League 1,EA Guingamp,Olympique Lyon,19,8,2,15/08/2015,20:00:00,0,1,Stade du Roudourou,17.728,Antony Gautier,EA Guingamp,2015
League 1,SM Caen,FC Toulouse,3,10,2,15/08/2015,20:00:00,1,0,Stade Michel-d'Ornano,16.791,Stéphane Jochem,FC Toulouse,2015
League 1,ESTAC Troyes,OGC Nice,11,13,2,15/08/2015,20:00:00,3,3,Stade de l'Aube,11.468,Johan Hamel,OGC Nice,2015
League 1,Stade Rennais FC,Montpellier HSC,9,20,2,15/08/2015,20:00:00,1,0,Roazhon Park,18.748,Mikael Lesage,Montpellier HSC,2015
