,season,round,round_type,team,promoted,team_pos,pts,g_difference,win,draw,lose,goals_for,goals_against
0,2012,1,Regular Season,FC Ashdod,0,1,3,2,1,0,0,2,0
1,2012,1,Regular Season,Ironi Kiryat Shmona,0,2,3,1,1,0,0,3,2
2,2012,1,Regular Season,Maccabi Tel Aviv,0,3,3,1,1,0,0,2,1
3,2012,1,Regular Season,Hapoel Tel Aviv,0,4,3,1,1,0,0,1,0
4,2012,1,Regular Season,Hapoel Acre,0,5,1,0,0,1,0,1,1
5,2012,1,Regular Season,Bnei Yehuda Tel Aviv,0,6,1,0,0,1,0,1,1
6,2012,1,Regular Season,Hapoel Haifa,0,7,1,0,0,1,0,0,0
7,2012,1,Regular Season,Hapoel Beer Sheva,0,8,1,0,0,1,0,0,0
8,2012,1,Regular Season,Ihud Bnei Sakhnin,0,9,1,0,0,1,0,0,0
9,2012,1,Regular Season,Maccabi Netanya,0,10,1,0,0,1,0,0,0
10,2012,1,Regular Season,Beitar Jerusalem,0,11,0,-1,0,0,1,2,3
11,2012,1,Regular Season,Maccabi Haifa,0,12,0,-1,0,0,1,1,2
12,2012,1,Regular Season,Hapoel Ramat Gan,1,13,0,-1,0,0,1,0,1
13,2012,1,Regular Season,Hapoel Ramat haSharon,0,14,0,-2,0,0,1,0,2
14,2012,2,Regular Season,FC Ashdod,0,1,6,4,2,0,0,5,1
15,2012,2,Regular Season,Ironi Kiryat Shmona,0,2,6,3,2,0,0,6,3
16,2012,2,Regular Season,Hapoel Tel Aviv,0,3,6,3,2,0,0,3,0
17,2012,2,Regular Season,Maccabi Tel Aviv,0,4,6,2,2,0,0,3,1
18,2012,2,Regular Season,Bnei Yehuda Tel Aviv,0,5,4,1,1,1,0,2,1
19,2012,2,Regular Season,Hapoel Ramat haSharon,0,6,3,0,1,0,1,3,3
20,2012,2,Regular Season,Hapoel Beer Sheva,0,7,2,0,0,2,0,1,1
21,2012,2,Regular Season,Beitar Jerusalem,0,8,1,-1,0,1,1,3,4
22,2012,2,Regular Season,Maccabi Netanya,0,9,1,-1,0,1,1,0,1
23,2012,2,Regular Season,Hapoel Acre,0,10,1,-2,0,1,1,2,4
24,2012,2,Regular Season,Ihud Bnei Sakhnin,0,11,1,-2,0,1,1,1,3
25,2012,2,Regular Season,Hapoel Haifa,0,12,1,-2,0,1,1,0,2
26,2012,2,Regular Season,Hapoel Ramat Gan,1,13,0,-2,0,0,2,0,2
27,2012,2,Regular Season,Maccabi Haifa,0,14,0,-3,0,0,2,2,5
28,2012,3,Regular Season,FC Ashdod,0,1,9,5,3,0,0,7,2
29,2012,3,Regular Season,Hapoel Tel Aviv,0,2,9,5,3,0,0,5,0
30,2012,3,Regular Season,Maccabi Tel Aviv,0,3,9,4,3,0,0,6,2
31,2012,3,Regular Season,Ironi Kiryat Shmona,0,4,6,2,2,0,1,6,4
32,2012,3,Regular Season,Hapoel Acre,0,5,4,2,1,1,1,7,5
33,2012,3,Regular Season,Hapoel Ramat haSharon,0,6,4,0,1,1,1,4,4
34,2012,3,Regular Season,Maccabi Netanya,0,7,4,0,1,1,1,1,1
35,2012,3,Regular Season,Bnei Yehuda Tel Aviv,0,8,4,-1,1,1,1,2,3
36,2012,3,Regular Season,Hapoel Beer Sheva,0,9,3,0,0,3,0,2,2
37,2012,3,Regular Season,Beitar Jerusalem,0,10,1,-2,0,1,2,4,6
38,2012,3,Regular Season,Hapoel Ramat Gan,1,11,1,-2,0,1,2,1,3
39,2012,3,Regular Season,Maccabi Haifa,0,12,1,-3,0,1,2,3,6
