,season,round,round_type,team,promoted,team_pos,pts,g_difference,win,draw,lose,goals_for,goals_against
0,2022,1,Regular Season,Maccabi Tel Aviv,0,1,3,5,1,0,0,5,0
1,2022,1,Regular Season,Maccabi Netanya,0,2,3,3,1,0,0,4,1
2,2022,1,Regular Season,Ironi Kiryat Shmona,0,3,3,2,1,0,0,2,0
3,2022,1,Regular Season,Hapoel Haifa,0,4,3,2,1,0,0,2,0
4,2022,1,Regular Season,FC Ashdod,0,5,3,1,1,0,0,2,1
5,2022,1,Regular Season,Maccabi Haifa,0,6,3,1,1,0,0,1,0
6,2022,1,Regular Season,Hapoel Hadera,0,7,1,0,0,1,0,1,1
7,2022,1,Regular Season,Hapoel Jerusalem,0,8,1,0,0,1,0,1,1
8,2022,1,Regular Season,Hapoel Beer Sheva,0,9,0,-1,0,0,1,1,2
9,2022,1,Regular Season,Ihud Bnei Sakhnin,0,10,0,-1,0,0,1,0,1
10,2022,1,Regular Season,Hapoel Tel Aviv,0,11,0,-2,0,0,1,0,2
11,2022,1,Regular Season,Sekzia Ness Ziona,1,12,0,-2,0,0,1,0,2
12,2022,1,Regular Season,Beitar Jerusalem,0,13,0,-3,0,0,1,1,4
13,2022,1,Regular Season,Maccabi Bnei Reineh,1,14,0,-5,0,0,1,0,5
14,2022,2,Regular Season,Maccabi Tel Aviv,0,1,6,11,2,0,0,11,0
15,2022,2,Regular Season,Maccabi Haifa,0,2,6,4,2,0,0,5,1
16,2022,2,Regular Season,FC Ashdod,0,3,6,2,2,0,0,3,1
17,2022,2,Regular Season,Ironi Kiryat Shmona,0,4,4,2,1,1,0,3,1
18,2022,2,Regular Season,Hapoel Haifa,0,5,4,2,1,1,0,3,1
19,2022,2,Regular Season,Hapoel Beer Sheva,0,6,3,4,1,0,1,6,2
20,2022,2,Regular Season,Ihud Bnei Sakhnin,0,7,3,1,1,0,1,2,1
21,2022,2,Regular Season,Maccabi Netanya,0,8,3,0,1,0,1,5,5
22,2022,2,Regular Season,Hapoel Jerusalem,0,9,2,0,0,2,0,2,2
23,2022,2,Regular Season,Maccabi Bnei Reineh,1,10,1,-5,0,1,1,1,6
24,2022,2,Regular Season,Hapoel Hadera,0,11,1,-6,0,1,1,1,7
25,2022,2,Regular Season,Sekzia Ness Ziona,1,12,0,-3,0,0,2,0,3
26,2022,2,Regular Season,Hapoel Tel Aviv,0,13,0,-4,0,0,2,0,4
27,2022,2,Regular Season,Beitar Jerusalem,0,14,0,-8,0,0,2,1,9
28,2022,3,Regular Season,Maccabi Tel Aviv,0,1,9,13,3,0,0,14,1
29,2022,3,Regular Season,Maccabi Haifa,0,2,9,5,3,0,0,7,2
30,2022,3,Regular Season,Ihud Bnei Sakhnin,0,3,6,2,2,0,1,4,2
31,2022,3,Regular Season,FC Ashdod,0,4,6,-1,2,0,1,3,4
32,2022,3,Regular Season,Hapoel Jerusalem,0,5,5,3,1,2,0,5,2
33,2022,3,Regular Season,Hapoel Haifa,0,6,4,1,1,1,1,4,3
34,2022,3,Regular Season,Ironi Kiryat Shmona,0,7,4,0,1,1,1,4,4
35,2022,3,Regular Season,Hapoel Hadera,0,8,4,-5,1,1,1,3,8
36,2022,3,Regular Season,Hapoel Beer Sheva,0,9,3,3,1,0,2,7,4
37,2022,3,Regular Season,Maccabi Netanya,0,10,3,-2,1,0,2,5,7
38,2022,3,Regular Season,Hapoel Tel Aviv,0,11,3,-2,1,0,2,2,4
39,2022,3,Regular Season,Beitar Jerusalem,0,12,3,-5,1,0,2,4,9
40,2022,3,Regular Season,Maccabi Bnei Reineh,1,13,1,-6,0,1,2,2,8
41,2022,3,Regular Season,Sekzia Ness Ziona,1,14,0,-6,0,0,3,0,6
42,2022,4,Regular Season,Maccabi Haifa,0,1,12,7,4,0,0,10,3
43,2022,4,Regular Season,Maccabi Tel Aviv,0,2,10,13,3,1,0,14,1
44,2022,4,Regular Season,Hapoel Jerusalem,0,3,8,4,2,2,0,6,2
45,2022,4,Regular Season,Ihud Bnei Sakhnin,0,4,7,2,2,1,1,4,2
46,2022,4,Regular Season,FC Ashdod,0,5,7,-1,2,1,1,3,4
47,2022,4,Regular Season,Hapoel Beer Sheva,0,6,6,4,2,0,2,10,6
48,2022,4,Regular Season,Hapoel Haifa,0,7,5,1,1,2,1,5,4
49,2022,4,Regular Season,Ironi Kiryat Shmona,0,8,5,0,1,2,1,5,5
50,2022,4,Regular Season,Hapoel Hadera,0,9,5,-5,1,2,1,4,9
51,2022,4,Regular Season,Maccabi Netanya,0,10,4,-2,1,1,2,5,7
52,2022,4,Regular Season,Hapoel Tel Aviv,0,11,3,-3,1,0,3,4,7
53,2022,4,Regular Season,Beitar Jerusalem,0,12,3,-6,1,0,3,4,10
54,2022,4,Regular Season,Maccabi Bnei Reineh,1,13,2,-6,0,2,2,3,9
55,2022,4,Regular Season,Sekzia Ness Ziona,1,14,0,-8,0,0,4,1,9
56,2022,5,Regular Season,Maccabi Tel Aviv,0,1,13,17,4,1,0,18,1
57,2022,5,Regular Season,Maccabi Haifa,0,2,12,4,4,0,1,10,6
58,2022,5,Regular Season,Hapoel Jerusalem,0,3,11,7,3,2,0,9,2
59,2022,5,Regular Season,Hapoel Beer Sheva,0,4,9,5,3,0,2,11,6
60,2022,5,Regular Season,FC Ashdod,0,5,8,-1,2,2,1,4,5
61,2022,5,Regular Season,Ihud Bnei Sakhnin,0,6,7,1,2,1,2,4,3
62,2022,5,Regular Season,Hapoel Haifa,0,7,6,1,1,3,1,5,4
63,2022,5,Regular Season,Ironi Kiryat Shmona,0,8,6,0,1,3,1,6,6
64,2022,5,Regular Season,Hapoel Hadera,0,9,6,-5,1,3,1,5,10
65,2022,5,Regular Season,Maccabi Netanya,0,10,5,-2,1,2,2,5,7
66,2022,5,Regular Season,Hapoel Tel Aviv,0,11,3,-4,1,0,4,7,11
67,2022,5,Regular Season,Maccabi Bnei Reineh,1,12,3,-6,0,3,2,4,10
68,2022,5,Regular Season,Sekzia Ness Ziona,1,13,3,-7,1,0,4,5,12
69,2022,5,Regular Season,Beitar Jerusalem,0,14,3,-10,1,0,4,4,14
70,2022,6,Regular Season,Maccabi Haifa,0,1,15,6,5,0,1,12,6
71,2022,6,Regular Season,Hapoel Jerusalem,0,2,14,9,4,2,0,12,3
72,2022,6,Regular Season,Maccabi Tel Aviv,0,3,13,15,4,1,1,18,3
73,2022,6,Regular Season,Hapoel Beer Sheva,0,4,12,6,4,0,2,13,7
74,2022,6,Regular Season,Ihud Bnei Sakhnin,0,5,10,3,3,1,2,6,3
75,2022,6,Regular Season,FC Ashdod,0,6,9,-1,2,3,1,5,6
76,2022,6,Regular Season,Hapoel Haifa,0,7,7,1,1,4,1,6,5
77,2022,6,Regular Season,Ironi Kiryat Shmona,0,8,7,0,1,4,1,7,7
78,2022,6,Regular Season,Hapoel Hadera,0,9,7,-5,1,4,1,6,11
