match_date,kot,round_type,season_round,home_team,away_team,home_position,away_position,underdog,home_score,away_score,referee,stadium,attendance,season
25/08/2012,5:50 PM,Regular round,1,Hapoel Beer Sheva,Ihud Bnei Sakhnin,8,9,Ihud Bnei Sakhnin,0,0,Eitan Tabrizi,Vasermil Stadium,4500,2012
25/08/2012,6:00 PM,Regular round,1,Hapoel Haifa,Maccabi Netanya,7,10,Maccabi Netanya,0,0,Ziv Adler,Kiryat Eliezer,4000,2012
25/08/2012,6:00 PM,Regular round,1,FC Ashdod,Hapoel Ramat haSharon,1,14,Hapoel Ramat haSharon,2,0,Menashe Masiah,Yud-Alef Stadion,500,2012
25/08/2012,6:00 PM,Regular round,1,Hapoel Acre,Bnei Yehuda Tel Aviv,5,6,Bnei Yehuda Tel Aviv,1,1,Eli Hacmon,Giv'at Napoleon Stadium,600,2012
25/08/2012,8:00 PM,Regular round,1,Ironi Kiryat Shmona,Beitar Jerusalem,2,11,Beitar Jerusalem,3,2,Eitan Shmuelevic,Kiryat Shmona Municipal Stadium,3800,2012
26/08/2012,8:10 PM,Regular round,1,Hapoel Ramat Gan,Hapoel Tel Aviv,13,4,Hapoel Ramat Gan,0,1,Alon Yefet,Ramat Gan Nationalstadion,4000,2012
27/08/2012,8:50 PM,Regular round,1,Maccabi Tel Aviv,Maccabi Haifa,3,12,Maccabi Haifa,2,1,Liran Liany,Bloomfield,13500,2012
01/09/2012,5:50 PM,Regular round,2,Maccabi Haifa,Ironi Kiryat Shmona,14,2,Maccabi Haifa,1,3,Orel Grinfeld,Kiryat Eliezer,10000,2012
01/09/2012,6:00 PM,Regular round,2,Ihud Bnei Sakhnin,FC Ashdod,11,1,Ihud Bnei Sakhnin,1,3,Haim Jakov,Doha Stadium,1000,2012
01/09/2012,6:00 PM,Regular round,2,Hapoel Ramat haSharon,Hapoel Acre,6,10,Hapoel Acre,3,1,Guy Berger,Yankela Grundman Stadium,150,2012
01/09/2012,6:00 PM,Regular round,2,Bnei Yehuda Tel Aviv,Hapoel Ramat Gan,5,13,Hapoel Ramat Gan,1,0,Erez Papir,Bloomfield,2500,2012
01/09/2012,8:00 PM,Regular round,2,Beitar Jerusalem,Hapoel Beer Sheva,8,7,Beitar Jerusalem,1,1,Shay Shitrit,Teddy-Kollek-Stadion,5500,2012
02/09/2012,8:10 PM,Regular round,2,Hapoel Tel Aviv,Hapoel Haifa,3,12,Hapoel Haifa,2,0,Roi Reinshreiber,Bloomfield,7500,2012
03/09/2012,8:50 PM,Regular round,2,Maccabi Netanya,Maccabi Tel Aviv,9,4,Maccabi Netanya,0,1,Liran Wachsberger,Sar-Tov Stadium,4500,2012
13/09/2012,8:00 PM,Regular round,3,FC Ashdod,Beitar Jerusalem,1,10,Beitar Jerusalem,2,1,Daniel Bar Natan,Yud-Alef Stadion,2000,2012
15/09/2012,4:50 PM,Regular round,3,Hapoel Haifa,Maccabi Tel Aviv,13,3,Hapoel Haifa,1,3,Alon Yefet,Kiryat Eliezer,6000,2012
15/09/2012,6:00 PM,Regular round,3,Ironi Kiryat Shmona,Maccabi Netanya,4,7,Maccabi Netanya,0,1,Halim Zatma,Kiryat Shmona Municipal Stadium,2500,2012
15/09/2012,6:00 PM,Regular round,3,Hapoel Acre,Ihud Bnei Sakhnin,5,14,Ihud Bnei Sakhnin,5,1,Ziv Adler,Giv'at Napoleon Stadium,800,2012
15/09/2012,6:00 PM,Regular round,3,Hapoel Ramat Gan,Hapoel Ramat haSharon,11,6,Hapoel Ramat Gan,1,1,Liran Liany,Ramat Gan Nationalstadion,1000,2012
15/09/2012,7:00 PM,Regular round,3,Hapoel Tel Aviv,Bnei Yehuda Tel Aviv,2,8,Bnei Yehuda Tel Aviv,2,0,Eitan Tabrizi,Bloomfield,11000,2012
15/09/2012,8:45 PM,Regular round,3,Hapoel Beer Sheva,Maccabi Haifa,9,12,Maccabi Haifa,1,1,Eli Hacmon,Vasermil Stadium,7500,2012
22/09/2012,6:00 PM,Regular round,4,Maccabi Netanya,Hapoel Beer Sheva,7,10,Hapoel Beer Sheva,2,1,Roi Reinshreiber,Sar-Tov Stadium,2500,2012
22/09/2012,6:00 PM,Regular round,4,Bnei Yehuda Tel Aviv,Hapoel Haifa,5,13,Hapoel Haifa,3,1,Orel Grinfeld,Bloomfield,2500,2012
22/09/2012,6:00 PM,Regular round,4,Ihud Bnei Sakhnin,Hapoel Ramat Gan,14,9,Ihud Bnei Sakhnin,1,3,Asaf Kenan,Doha Stadium,900,2012
22/09/2012,6:40 PM,Regular round,4,Maccabi Haifa,FC Ashdod,12,2,Maccabi Haifa,0,1,Eitan Shmuelevic,Kiryat Eliezer,9000,2012
22/09/2012,8:00 PM,Regular round,4,Beitar Jerusalem,Hapoel Acre,11,4,Beitar Jerusalem,0,1,Liran Liany,Teddy-Kollek-Stadion,4500,2012
23/09/2012,8:00 PM,Regular round,4,Hapoel Ramat haSharon,Hapoel Tel Aviv,6,3,Hapoel Ramat haSharon,1,0,Eli Hacmon,Yankela Grundman Stadium,2500,2012
24/09/2012,8:50 PM,Regular round,4,Maccabi Tel Aviv,Ironi Kiryat Shmona,1,8,Ironi Kiryat Shmona,4,0,Menashe Masiah,Bloomfield,12200,2012
29/09/2012,4:00 PM,Regular round,5,Hapoel Tel Aviv,Ihud Bnei Sakhnin,3,14,Ihud Bnei Sakhnin,1,0,Liran Liany,Bloomfield,8500,2012
29/09/2012,6:00 PM,Regular round,5,Hapoel Haifa,Ironi Kiryat Shmona,13,7,Hapoel Haifa,1,1,Shay Shitrit,Kiryat Eliezer,3000,2012
29/09/2012,6:00 PM,Regular round,5,FC Ashdod,Maccabi Netanya,1,8,Maccabi Netanya,3,0,Guy Berger,Yud-Alef Stadion,3000,2012
29/09/2012,6:10 PM,Regular round,5,Hapoel Acre,Maccabi Haifa,4,12,Maccabi Haifa,0,0,Eitan Tabrizi,Giv'at Napoleon Stadium,5000,2012
29/09/2012,8:00 PM,Regular round,5,Bnei Yehuda Tel Aviv,Hapoel Ramat haSharon,5,6,Hapoel Ramat haSharon,2,2,Haim Jakov,Bloomfield,4000,2012
29/09/2012,8:10 PM,Regular round,5,Hapoel Ramat Gan,Beitar Jerusalem,10,11,Beitar Jerusalem,2,2,Erez Papir,Ramat Gan Nationalstadion,3000,2012
01/10/2012,8:50 PM,Regular round,5,Hapoel Beer Sheva,Maccabi Tel Aviv,9,2,Hapoel Beer Sheva,3,1,Alon Yefet,Vasermil Stadium,9500,2012
06/10/2012,5:40 PM,Regular round,6,Maccabi Haifa,Hapoel Ramat Gan,12,11,Maccabi Haifa,2,0,Roi Reinshreiber,Kiryat Eliezer,10000,2012
06/10/2012,6:00 PM,Regular round,6,Maccabi Netanya,Hapoel Acre,9,4,Maccabi Netanya,1,3,Asaf Kenan,Sar-Tov Stadium,1500,2012
06/10/2012,6:00 PM,Regular round,6,Ihud Bnei Sakhnin,Bnei Yehuda Tel Aviv,14,6,Ihud Bnei Sakhnin,2,2,Erez Papir,Doha Stadium,2000,2012
06/10/2012,6:00 PM,Regular round,6,Hapoel Ramat haSharon,Hapoel Haifa,5,13,Hapoel Haifa,2,0,Halim Zatma,Yankela Grundman Stadium,1000,2012
06/10/2012,8:00 PM,Regular round,6,Maccabi Tel Aviv,FC Ashdod,2,1,Maccabi Tel Aviv,2,1,Daniel Bar Natan,Bloomfield,13000,2012
29/10/2012,6:00 PM,Regular round,6,Ironi Kiryat Shmona,Hapoel Beer Sheva,7,8,Hapoel Beer Sheva,1,1,Haim Jakov,Kiryat Shmona Municipal Stadium,1500,2012
29/10/2012,7:50 PM,Regular round,6,Beitar Jerusalem,Hapoel Tel Aviv,10,3,Beitar Jerusalem,3,2,Orel Grinfeld,Teddy-Kollek-Stadion,18000,2012
20/10/2012,6:00 PM,Regular round,7,Hapoel Haifa,Hapoel Beer Sheva,14,7,Hapoel Haifa,0,0,Daniel Bar Natan,Kiryat Eliezer,4000,2012
20/10/2012,6:00 PM,Regular round,7,FC Ashdod,Ironi Kiryat Shmona,1,9,Ironi Kiryat Shmona,2,0,Ziv Adler,Yud-Alef Stadion,3000,2012
20/10/2012,6:00 PM,Regular round,7,Hapoel Ramat haSharon,Ihud Bnei Sakhnin,5,13,Ihud Bnei Sakhnin,1,3,Guy Berger,Yankela Grundman Stadium,300,2012
20/10/2012,6:00 PM,Regular round,7,Hapoel Ramat Gan,Maccabi Netanya,11,10,Hapoel Ramat Gan,1,1,Sahar Arbeli,Ramat Gan Nationalstadion,1100,2012
20/10/2012,8:05 PM,Regular round,7,Hapoel Acre,Maccabi Tel Aviv,4,2,Hapoel Acre,0,2,Orel Grinfeld,Giv'at Napoleon Stadium,5000,2012
21/10/2012,8:00 PM,Regular round,7,Bnei Yehuda Tel Aviv,Beitar Jerusalem,6,8,Beitar Jerusalem,1,2,Roi Reinshreiber,Bloomfield,4200,2012
22/10/2012,8:50 PM,Regular round,7,Hapoel Tel Aviv,Maccabi Haifa,3,12,Maccabi Haifa,3,0,Eli Hacmon,Bloomfield,14000,2012
03/11/2012,4:15 PM,Regular round,8,Maccabi Tel Aviv,Hapoel Ramat Gan,1,12,Hapoel Ramat Gan,3,1,Menashe Masiah,Bloomfield,10000,2012
03/11/2012,5:00 PM,Regular round,8,Hapoel Beer Sheva,FC Ashdod,10,2,Hapoel Beer Sheva,0,0,Halim Zatma,Vasermil Stadium,5300,2012
03/11/2012,5:00 PM,Regular round,8,Ironi Kiryat Shmona,Hapoel Acre,7,4,Ironi Kiryat Shmona,1,0,Liran Liany,Kiryat Shmona Municipal Stadium,1200,2012
03/11/2012,5:00 PM,Regular round,8,Ihud Bnei Sakhnin,Hapoel Haifa,11,14,Hapoel Haifa,2,0,Eitan Shmuelevic,Doha Stadium,3000,2012
03/11/2012,6:30 PM,Regular round,8,Beitar Jerusalem,Hapoel Ramat haSharon,5,6,Hapoel Ramat haSharon,1,0,Asaf Kenan,Teddy-Kollek-Stadion,7000,2012
04/11/2012,7:50 PM,Regular round,8,Maccabi Netanya,Hapoel Tel Aviv,8,3,Maccabi Netanya,2,1,Eitan Tabrizi,Netanya Stadium,13800,2012
05/11/2012,6:30 PM,Regular round,8,Maccabi Haifa,Bnei Yehuda Tel Aviv,13,9,Maccabi Haifa,1,1,Shay Shitrit,Kiryat Eliezer,11000,2012
10/11/2012,2:50 PM,Regular round,9,Bnei Yehuda Tel Aviv,Maccabi Netanya,4,9,Maccabi Netanya,3,0,Haim Jakov,Bloomfield,2500,2012
10/11/2012,5:00 PM,Regular round,9,Hapoel Haifa,FC Ashdod,14,2,Hapoel Haifa,2,1,Erez Papir,Kiryat Eliezer,3000,2012
10/11/2012,5:00 PM,Regular round,9,Hapoel Acre,Hapoel Beer Sheva,5,10,Hapoel Beer Sheva,2,2,Menashe Masiah,Giv'at Napoleon Stadium,1500,2012
10/11/2012,5:00 PM,Regular round,9,Hapoel Ramat haSharon,Maccabi Haifa,7,13,Maccabi Haifa,1,1,Roi Reinshreiber,Yankela Grundman Stadium,2500,2012
