,date,kot,season,round_type,round,home_team,home_team_city,away_team,away_team_city,referee,attendance,home_score,away_score,home_won,away_won,draw,home_pos_b4_game,home_lg_b4_game,away_pos_b4_game,away_lg_b4_game,underdog,home_position,away_position,kot_15_16,kot_16_17,kot_17_18,kot_18_19,kot_19_20,kot_20_21,kot_21_22,kot_22_23,derby,while_world_cup,while_champion_league,while_european_games,home_promoted,home_league_pts,home_is_relegated,home_is_champion,away_promoted,away_league_pts,away_is_relegated,away_is_champion,game_stadium,capacity,att_ratio,ln(attendance),ln(capacity),built_in,stadium_age,stadium_age_squared,home_team_stadium,away_team_stadium,distance_in_km,home_key,away_key,day_of_week_num,day_of_week
0,2012-08-25,18:50,2012,Regular Season,1,Hapoel Beer Sheva,Beer Sheva,Ihud Bnei Sakhnin,Sakhnin,Eitan Tabrizi,4500.0,0,0,0,0,1,0,0,0,0,,8,9,False,False,False,True,False,False,False,False,0,0,0,1,0,1,,,0,1,,,Vasermil,13000.0,0.34615384615384615,8.411832675758411,9.472704636443673,1959,53,2809,Vasermil,Doha,185.58811941817558,2012 - Regular Season - 1 - Hapoel Beer Sheva,2012 - Regular Season - 1 - Ihud Bnei Sakhnin,5,Saturday
1,2012-08-25,19:00,2012,Regular Season,1,Hapoel Haifa,Haifa,Maccabi Netanya,Netanya,Ziv Adler,4000.0,0,0,0,0,1,0,0,0,0,,7,10,False,False,False,False,True,False,False,False,0,0,0,1,0,1,,,0,1,,,Kiryat Eliezer,14000.0,0.2857142857142857,8.294049640102028,9.546812608597396,1955,57,3249,Kiryat Eliezer,Netanya,60.094842625445,2012 - Regular Season - 1 - Hapoel Haifa,2012 - Regular Season - 1 - Maccabi Netanya,5,Saturday
2,2012-08-25,19:00,2012,Regular Season,1,FC Ashdod,Ashdod,Hapoel Ramat haSharon,Ramat haSharon,Menashe Masiah,500.0,2,0,1,0,0,0,0,0,0,,1,14,False,False,False,False,True,False,False,False,0,0,0,1,0,3,,,0,0,,,Yud-Alef,7800.0,0.0641025641025641,6.214608098422191,8.961879012677683,1966,46,2116,Yud-Alef,Grundman,40.50664661846131,2012 - Regular Season - 1 - FC Ashdod,2012 - Regular Season - 1 - Hapoel Ramat haSharon,5,Saturday
3,2012-08-25,19:00,2012,Regular Season,1,Hapoel Acre,Acre,Bnei Yehuda Tel Aviv,Tel Aviv,Eli Hacmon,600.0,1,1,0,0,1,0,0,0,0,,5,6,False,False,False,False,True,False,False,False,0,0,0,1,0,1,,,0,1,,,Giv'at Napoleon,5000.0,0.12,6.396929655216146,8.517193191416238,2011,1,1,Giv'at Napoleon,Bloomfield,99.72365341989246,2012 - Regular Season - 1 - Hapoel Acre,2012 - Regular Season - 1 - Bnei Yehuda Tel Aviv,5,Saturday
4,2012-08-25,21:00,2012,Regular Season,1,Ironi Kiryat Shmona,Kiryat Shmona,Beitar Jerusalem,Jerusalem,Eitan Shmuelevic,3800.0,3,2,1,0,0,0,0,0,0,,2,11,False,False,False,False,False,False,True,False,0,0,0,1,0,3,,,0,0,,,Kiryat Shmona Municipal,5300.0,0.7169811320754716,8.242756345714477,8.575462099540212,1989,23,529,Kiryat Shmona Municipal,Teddy,165.58462476147065,2012 - Regular Season - 1 - Ironi Kiryat Shmona,2012 - Regular Season - 1 - Beitar Jerusalem,5,Saturday
5,2012-08-26,21:10,2012,Regular Season,1,Hapoel Ramat Gan,Ramat Gan,Hapoel Tel Aviv,Tel Aviv,Alon Yefet,4000.0,0,1,0,1,0,0,0,0,0,,13,4,False,False,False,False,False,False,True,False,0,0,0,1,1,0,,,0,3,,,Ramat Gan,41583.0,0.09619315585696078,8.294049640102028,10.635446708881462,1950,62,3844,Ramat Gan,Bloomfield,8.039089019781295,2012 - Regular Season - 1 - Hapoel Ramat Gan,2012 - Regular Season - 1 - Hapoel Tel Aviv,6,Sunday
6,2012-08-27,21:50,2012,Regular Season,1,Maccabi Tel Aviv,Tel Aviv,Maccabi Haifa,Haifa,Liran Liany,13500.0,2,1,1,0,0,0,0,0,0,,3,12,False,False,False,False,False,False,True,False,0,0,0,1,0,3,,,0,0,,,Bloomfield,29400.0,0.45918367346938777,9.51044496442652,10.288749953326773,1962,50,2500,Bloomfield,Kiryat Eliezer,88.45445851450366,2012 - Regular Season - 1 - Maccabi Tel Aviv,2012 - Regular Season - 1 - Maccabi Haifa,0,Monday
7,2012-09-01,18:50,2012,Regular Season,2,Maccabi Haifa,Haifa,Ironi Kiryat Shmona,Kiryat Shmona,Orel Grinfeld,10000.0,1,3,0,1,0,12,0,2,3,Maccabi Haifa,14,2,False,False,False,True,False,False,False,False,0,0,0,1,0,0,,,0,6,,,Kiryat Eliezer,14000.0,0.7142857142857143,9.210340371976184,9.546812608597396,1955,57,3249,Kiryat Eliezer,Kiryat Shmona Municipal,69.79442636450398,2012 - Regular Season - 2 - Maccabi Haifa,2012 - Regular Season - 2 - Ironi Kiryat Shmona,5,Saturday
8,2012-09-01,19:00,2012,Regular Season,2,Ihud Bnei Sakhnin,Sakhnin,FC Ashdod,Ashdod,Haim Jakov,1000.0,1,3,0,1,0,9,1,1,3,Ihud Bnei Sakhnin,11,1,False,False,False,False,True,False,False,False,0,0,0,1,0,1,,,0,6,,,Doha,8500.0,0.11764705882352941,6.907755278982137,9.047821442478408,2006,6,36,Doha,Yud-Alef,132.6922933820839,2012 - Regular Season - 2 - Ihud Bnei Sakhnin,2012 - Regular Season - 2 - FC Ashdod,5,Saturday
9,2012-09-01,19:00,2012,Regular Season,2,Hapoel Ramat haSharon,Ramat haSharon,Hapoel Acre,Acre,Guy Berger,150.0,3,1,1,0,0,14,0,5,1,Hapoel Ramat haSharon,6,10,False,False,False,False,True,False,False,False,0,0,0,1,0,3,,,0,1,,,Grundman,4700.0,0.031914893617021274,5.0106352940962555,8.45531778769815,1998,14,196,Grundman,Giv'at Napoleon,89.00132823977489,2012 - Regular Season - 2 - Hapoel Ramat haSharon,2012 - Regular Season - 2 - Hapoel Acre,5,Saturday
