,date,kot,round_type,round,home_team,away_team,home_position,away_position,underdog,home_score,away_score,referee,stadium,attendance,season,home_won,away_won,draw,derby,while_world_cup,kot_15_16,kot_16_17,kot_17_18,kot_18_19,kot_19_20,kot_20_21,kot_21_22,kot_22_23,while_champion_league,while_european_games,home_key,away_key,home_promoted,home_league_pts,home_is_relegated,home_is_champion,home_pos_b4_game,away_promoted,away_league_pts,away_is_relegated,away_is_champion,away_pos_b4_game
0,2022-08-20,1900-01-01 18:30:00,Regular Season,1,Hapoel Haifa,Hapoel Tel Aviv,3,11,Hapoel Tel Aviv,2,0,Orel Grinfeld,Sammy Ofer Stadium,7450,2022,1,0,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Regular Season - 1 - Hapoel Haifa,2022 - Regular Season - 1 - Hapoel Tel Aviv,0,3,,,0,0,0,,,0
1,2022-08-20,1900-01-01 20:00:00,Regular Season,1,Hapoel Jerusalem,Hapoel Hadera,7,8,Hapoel Hadera,1,1,Aviad Shiloah,HaMoshava Stadium,1390,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 1 - Hapoel Jerusalem,2022 - Regular Season - 1 - Hapoel Hadera,0,1,,,0,0,1,,,0
2,2022-08-20,1900-01-01 20:30:00,Regular Season,1,Maccabi Netanya,Beitar Jerusalem,2,13,Beitar Jerusalem,4,1,Roi Reinshreiber,Netanya Stadium,10050,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 1 - Maccabi Netanya,2022 - Regular Season - 1 - Beitar Jerusalem,0,3,,,0,0,0,,,0
3,2022-08-21,1900-01-01 20:15:00,Regular Season,1,Maccabi Tel Aviv,Maccabi Bnei Reineh,1,14,Maccabi Bnei Reineh,5,0,Igal Frid,Bloomfield,17750,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 1 - Maccabi Tel Aviv,2022 - Regular Season - 1 - Maccabi Bnei Reineh,0,3,,,0,1,0,,,0
4,2022-08-22,1900-01-01 19:00:00,Regular Season,1,Sekzia Ness Ziona,Ironi Kiryat Shmona,12,4,Sekzia Ness Ziona,0,2,Yoav Mizrahi,HaMoshava Stadium,250,2022,0,1,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 1 - Sekzia Ness Ziona,2022 - Regular Season - 1 - Ironi Kiryat Shmona,1,0,,,0,0,3,,,0
5,2022-08-30,1900-01-01 20:15:00,Regular Season,1,Ihud Bnei Sakhnin,Maccabi Haifa,10,6,Ihud Bnei Sakhnin,0,1,Gal Leibovitz,Doha Stadium,4213,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 1 - Ihud Bnei Sakhnin,2022 - Regular Season - 1 - Maccabi Haifa,0,0,,,0,0,3,,,0
6,2022-08-31,1900-01-01 19:45:00,Regular Season,1,Hapoel Beer Sheva,FC Ashdod,9,5,Hapoel Beer Sheva,1,2,David Fucsman,Toto Jacob Turner Stadium,11045,2022,0,1,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 1 - Hapoel Beer Sheva,2022 - Regular Season - 1 - FC Ashdod,0,0,,,0,0,3,,,0
7,2022-08-27,1900-01-01 18:00:00,Regular Season,2,Ironi Kiryat Shmona,Hapoel Jerusalem,5,9,Hapoel Jerusalem,1,1,Nael Odeh,Kiryat Shmona Municipal Stadium,1292,2022,0,0,1,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Regular Season - 2 - Ironi Kiryat Shmona,2022 - Regular Season - 2 - Hapoel Jerusalem,0,4,,,3,0,2,,,8
8,2022-08-27,1900-01-01 19:15:00,Regular Season,2,Hapoel Tel Aviv,Ihud Bnei Sakhnin,13,7,Hapoel Tel Aviv,0,2,Roi Reinshreiber,Bloomfield,9900,2022,0,1,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 2 - Hapoel Tel Aviv,2022 - Regular Season - 2 - Ihud Bnei Sakhnin,0,0,,,11,0,3,,,10
9,2022-08-27,1900-01-01 20:00:00,Regular Season,2,Maccabi Haifa,Maccabi Netanya,2,8,Maccabi Netanya,4,1,Snir Levi,Sammy Ofer Stadium,28284,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 2 - Maccabi Haifa,2022 - Regular Season - 2 - Maccabi Netanya,0,6,,,6,0,3,,,2
