date,club,value,squad_s
01/01/2012,Maccabi Haifa,14050000,26
02/01/2012,Maccabi Haifa,14050000,26
03/01/2012,Maccabi Haifa,14050000,26
04/01/2012,Maccabi Haifa,14050000,26
05/01/2012,Maccabi Haifa,14050000,26
06/01/2012,Maccabi Haifa,14050000,26
07/01/2012,Maccabi Haifa,14050000,26
08/01/2012,Maccabi Haifa,14050000,26
09/01/2012,Maccabi Haifa,14050000,26
10/01/2012,Maccabi Haifa,14050000,26
11/01/2012,Maccabi Haifa,14050000,26
12/01/2012,Maccabi Haifa,14050000,26
13/01/2012,Maccabi Haifa,14050000,26
14/01/2012,Maccabi Haifa,14050000,26
15/01/2012,Maccabi Haifa,14950000,24
16/01/2012,Maccabi Haifa,14950000,24
17/01/2012,Maccabi Haifa,14950000,24
18/01/2012,Maccabi Haifa,14950000,24
19/01/2012,Maccabi Haifa,14950000,24
20/01/2012,Maccabi Haifa,14950000,24
21/01/2012,Maccabi Haifa,14950000,24
22/01/2012,Maccabi Haifa,14950000,24
23/01/2012,Maccabi Haifa,14950000,24
24/01/2012,Maccabi Haifa,14950000,24
25/01/2012,Maccabi Haifa,14950000,24
26/01/2012,Maccabi Haifa,14950000,24
27/01/2012,Maccabi Haifa,14950000,24
28/01/2012,Maccabi Haifa,14950000,24
29/01/2012,Maccabi Haifa,14950000,24
30/01/2012,Maccabi Haifa,14950000,24
31/01/2012,Maccabi Haifa,14950000,24
01/02/2012,Maccabi Haifa,15950000,27
02/02/2012,Maccabi Haifa,15950000,27
03/02/2012,Maccabi Haifa,15950000,27
04/02/2012,Maccabi Haifa,15950000,27
05/02/2012,Maccabi Haifa,15950000,27
06/02/2012,Maccabi Haifa,15950000,27
07/02/2012,Maccabi Haifa,15950000,27
08/02/2012,Maccabi Haifa,15950000,27
09/02/2012,Maccabi Haifa,15950000,27
10/02/2012,Maccabi Haifa,15950000,27
11/02/2012,Maccabi Haifa,15950000,27
12/02/2012,Maccabi Haifa,15950000,27
13/02/2012,Maccabi Haifa,15950000,27
14/02/2012,Maccabi Haifa,15950000,27
15/02/2012,Maccabi Haifa,15950000,27
16/02/2012,Maccabi Haifa,15950000,27
17/02/2012,Maccabi Haifa,15950000,27
18/02/2012,Maccabi Haifa,15950000,27
19/02/2012,Maccabi Haifa,15950000,27
20/02/2012,Maccabi Haifa,15950000,27
21/02/2012,Maccabi Haifa,15950000,27
22/02/2012,Maccabi Haifa,15950000,27
23/02/2012,Maccabi Haifa,15950000,27
24/02/2012,Maccabi Haifa,15950000,27
25/02/2012,Maccabi Haifa,15950000,27
26/02/2012,Maccabi Haifa,15950000,27
27/02/2012,Maccabi Haifa,15950000,27
28/02/2012,Maccabi Haifa,15950000,27
29/02/2012,Maccabi Haifa,15950000,27
01/03/2012,Maccabi Haifa,15650000,25
02/03/2012,Maccabi Haifa,15650000,25
03/03/2012,Maccabi Haifa,15650000,25
04/03/2012,Maccabi Haifa,15650000,25
05/03/2012,Maccabi Haifa,15650000,25
06/03/2012,Maccabi Haifa,15650000,25
07/03/2012,Maccabi Haifa,15650000,25
08/03/2012,Maccabi Haifa,15650000,25
09/03/2012,Maccabi Haifa,15650000,25
10/03/2012,Maccabi Haifa,15650000,25
11/03/2012,Maccabi Haifa,15650000,25
12/03/2012,Maccabi Haifa,15650000,25
13/03/2012,Maccabi Haifa,15650000,25
14/03/2012,Maccabi Haifa,15650000,25
15/03/2012,Maccabi Haifa,15400000,23
16/03/2012,Maccabi Haifa,15400000,23
17/03/2012,Maccabi Haifa,15400000,23
18/03/2012,Maccabi Haifa,15400000,23
19/03/2012,Maccabi Haifa,15400000,23
20/03/2012,Maccabi Haifa,15400000,23
21/03/2012,Maccabi Haifa,15400000,23
22/03/2012,Maccabi Haifa,15400000,23
23/03/2012,Maccabi Haifa,15400000,23
24/03/2012,Maccabi Haifa,15400000,23
25/03/2012,Maccabi Haifa,15400000,23
26/03/2012,Maccabi Haifa,15400000,23
27/03/2012,Maccabi Haifa,15400000,23
28/03/2012,Maccabi Haifa,15400000,23
29/03/2012,Maccabi Haifa,15400000,23
30/03/2012,Maccabi Haifa,15400000,23
31/03/2012,Maccabi Haifa,15400000,23
01/04/2012,Maccabi Haifa,15400000,23
02/04/2012,Maccabi Haifa,15400000,23
03/04/2012,Maccabi Haifa,15400000,23
04/04/2012,Maccabi Haifa,15400000,23
05/04/2012,Maccabi Haifa,15400000,23
06/04/2012,Maccabi Haifa,15400000,23
07/04/2012,Maccabi Haifa,15400000,23
08/04/2012,Maccabi Haifa,15400000,23
09/04/2012,Maccabi Haifa,15400000,23
10/04/2012,Maccabi Haifa,15400000,23
11/04/2012,Maccabi Haifa,15400000,23
12/04/2012,Maccabi Haifa,15400000,23
13/04/2012,Maccabi Haifa,15400000,23
14/04/2012,Maccabi Haifa,15400000,23
15/04/2012,Maccabi Haifa,15400000,23
16/04/2012,Maccabi Haifa,15400000,23
17/04/2012,Maccabi Haifa,15400000,23
18/04/2012,Maccabi Haifa,15400000,23
19/04/2012,Maccabi Haifa,15400000,23
20/04/2012,Maccabi Haifa,15400000,23
21/04/2012,Maccabi Haifa,15400000,23
22/04/2012,Maccabi Haifa,15400000,23
23/04/2012,Maccabi Haifa,15400000,23
24/04/2012,Maccabi Haifa,15400000,23
25/04/2012,Maccabi Haifa,15400000,23
26/04/2012,Maccabi Haifa,15400000,23
27/04/2012,Maccabi Haifa,15400000,23
28/04/2012,Maccabi Haifa,15400000,23
29/04/2012,Maccabi Haifa,15400000,23
30/04/2012,Maccabi Haifa,15400000,23
01/05/2012,Maccabi Haifa,15400000,23
02/05/2012,Maccabi Haifa,15400000,23
03/05/2012,Maccabi Haifa,15400000,23
04/05/2012,Maccabi Haifa,15400000,23
05/05/2012,Maccabi Haifa,15400000,23
06/05/2012,Maccabi Haifa,15400000,23
07/05/2012,Maccabi Haifa,15400000,23
08/05/2012,Maccabi Haifa,15400000,23
09/05/2012,Maccabi Haifa,15400000,23
10/05/2012,Maccabi Haifa,15400000,23
11/05/2012,Maccabi Haifa,15400000,23
12/05/2012,Maccabi Haifa,15400000,23
13/05/2012,Maccabi Haifa,15400000,23
14/05/2012,Maccabi Haifa,15400000,23
15/05/2012,Maccabi Haifa,15400000,23
16/05/2012,Maccabi Haifa,15400000,23
17/05/2012,Maccabi Haifa,15400000,23
18/05/2012,Maccabi Haifa,15400000,23
19/05/2012,Maccabi Haifa,15400000,23
20/05/2012,Maccabi Haifa,15400000,23
21/05/2012,Maccabi Haifa,15400000,23
22/05/2012,Maccabi Haifa,15400000,23
23/05/2012,Maccabi Haifa,15400000,23
24/05/2012,Maccabi Haifa,15400000,23
25/05/2012,Maccabi Haifa,15400000,23
26/05/2012,Maccabi Haifa,15400000,23
27/05/2012,Maccabi Haifa,15400000,23
28/05/2012,Maccabi Haifa,15400000,23
29/05/2012,Maccabi Haifa,15400000,23
30/05/2012,Maccabi Haifa,15400000,23
31/05/2012,Maccabi Haifa,15400000,23
01/06/2012,Maccabi Haifa,15400000,23
02/06/2012,Maccabi Haifa,15400000,23
03/06/2012,Maccabi Haifa,15400000,23
04/06/2012,Maccabi Haifa,15400000,23
05/06/2012,Maccabi Haifa,15400000,23
06/06/2012,Maccabi Haifa,15400000,23
07/06/2012,Maccabi Haifa,15400000,23
08/06/2012,Maccabi Haifa,15400000,23
09/06/2012,Maccabi Haifa,15400000,23
10/06/2012,Maccabi Haifa,15400000,23
11/06/2012,Maccabi Haifa,15400000,23
12/06/2012,Maccabi Haifa,15400000,23
13/06/2012,Maccabi Haifa,15400000,23
14/06/2012,Maccabi Haifa,15400000,23
15/06/2012,Maccabi Haifa,15400000,23
16/06/2012,Maccabi Haifa,15400000,23
17/06/2012,Maccabi Haifa,15400000,23
18/06/2012,Maccabi Haifa,15400000,23
19/06/2012,Maccabi Haifa,15400000,23
