,date,kot,round_type,round,home_team,away_team,home_position,away_position,underdog,home_score,away_score,referee,game_stadium,attendance,season,derby,while_world_cup,kot_15_16,kot_16_17,kot_17_18,kot_18_19,kot_19_20,kot_20_21,kot_21_22,kot_22_23,while_champion_league,while_european_games,home_key,away_key,home_promoted,home_league_pts,home_is_relegated,home_is_champion,home_pos_b4_game,away_promoted,away_league_pts,away_is_relegated,away_is_champion,away_pos_b4_game,home_team_stadium,away_team_stadium,distance_in_km,capacity,att_ratio,ln(attendance),ln(capacity),built_in,stadium_age,stadium_age_squared,home_team_city,away_team_city
0,2012-08-25,18:50,Regular Season,1,Hapoel Beer Sheva,Ihud Bnei Sakhnin,8,9,Ihud Bnei Sakhnin,0,0,Eitan Tabrizi,Vasermil,4500.0,2012,0,0,0,0,0,1,0,0,0,0,0,0,2012 - Regular Season - 1 - Hapoel Beer Sheva,2012 - Regular Season - 1 - Ihud Bnei Sakhnin,0,1,,,,0,1,,,,Vasermil,Doha,185.58811941817558,13000.0,0.34615384615384615,8.411832675758411,9.472704636443673,1959,53,2809,Be'er Sheva,Sakhnin
1,2012-08-25,19:00,Regular Season,1,Hapoel Haifa,Maccabi Netanya,7,10,Maccabi Netanya,0,0,Ziv Adler,Kiryat Eliezer,4000.0,2012,0,0,0,0,0,0,1,0,0,0,0,0,2012 - Regular Season - 1 - Hapoel Haifa,2012 - Regular Season - 1 - Maccabi Netanya,0,1,,,,0,1,,,,Kiryat Eliezer,Netanya,60.094842625445,14000.0,0.2857142857142857,8.294049640102028,9.546812608597396,1955,57,3249,Haifa,Netanya
2,2012-08-25,19:00,Regular Season,1,FC Ashdod,Hapoel Ramat haSharon,1,14,Hapoel Ramat haSharon,2,0,Menashe Masiah,Yud-Alef,500.0,2012,0,0,0,0,0,0,1,0,0,0,0,0,2012 - Regular Season - 1 - FC Ashdod,2012 - Regular Season - 1 - Hapoel Ramat haSharon,0,3,,,,0,0,,,,Yud-Alef,Grundman,40.50664661846131,7800.0,0.0641025641025641,6.214608098422191,8.961879012677683,1966,46,2116,Ashdod,Ramat HaSharon
3,2012-08-25,19:00,Regular Season,1,Hapoel Acre,Bnei Yehuda Tel Aviv,5,6,Bnei Yehuda Tel Aviv,1,1,Eli Hacmon,Giv'at Napoleon,600.0,2012,0,0,0,0,0,0,1,0,0,0,0,0,2012 - Regular Season - 1 - Hapoel Acre,2012 - Regular Season - 1 - Bnei Yehuda Tel Aviv,0,1,,,,0,1,,,,Giv'at Napoleon,Bloomfield,99.72365341989246,5000.0,0.12,6.396929655216146,8.517193191416238,2011,1,1,Acre,Tel Aviv
4,2012-08-25,21:00,Regular Season,1,Ironi Kiryat Shmona,Beitar Jerusalem,2,11,Beitar Jerusalem,3,2,Eitan Shmuelevic,Kiryat Shmona Municipal,3800.0,2012,0,0,0,0,0,0,0,0,1,0,0,0,2012 - Regular Season - 1 - Ironi Kiryat Shmona,2012 - Regular Season - 1 - Beitar Jerusalem,0,3,,,,0,0,,,,Kiryat Shmona Municipal,Teddy,165.58462476147065,5300.0,0.7169811320754716,8.242756345714477,8.575462099540212,1989,23,529,Kiryat Shmona,Jerusalem
5,2012-08-26,21:10,Regular Season,1,Hapoel Ramat Gan,Hapoel Tel Aviv,13,4,Hapoel Ramat Gan,0,1,Alon Yefet,Ramat Gan,4000.0,2012,0,0,0,0,0,0,0,0,1,0,0,0,2012 - Regular Season - 1 - Hapoel Ramat Gan,2012 - Regular Season - 1 - Hapoel Tel Aviv,1,0,,,,0,3,,,,Ramat Gan,Bloomfield,8.039089019781295,41583.0,0.09619315585696078,8.294049640102028,10.635446708881462,1950,62,3844,Ramat Gan,Tel Aviv
6,2012-08-27,21:50,Regular Season,1,Maccabi Tel Aviv,Maccabi Haifa,3,12,Maccabi Haifa,2,1,Liran Liany,Bloomfield,13500.0,2012,0,0,0,0,0,0,0,0,1,0,0,0,2012 - Regular Season - 1 - Maccabi Tel Aviv,2012 - Regular Season - 1 - Maccabi Haifa,0,3,,,,0,0,,,,Bloomfield,Kiryat Eliezer,88.45445851450366,29400.0,0.45918367346938777,9.51044496442652,10.288749953326773,1962,50,2500,Tel Aviv,Haifa
7,2012-09-01,18:50,Regular Season,2,Maccabi Haifa,Ironi Kiryat Shmona,14,2,Maccabi Haifa,1,3,Orel Grinfeld,Kiryat Eliezer,10000.0,2012,0,0,0,0,0,1,0,0,0,0,0,0,2012 - Regular Season - 2 - Maccabi Haifa,2012 - Regular Season - 2 - Ironi Kiryat Shmona,0,0,,,12.0,0,6,,,2.0,Kiryat Eliezer,Kiryat Shmona Municipal,69.79442636450398,14000.0,0.7142857142857143,9.210340371976184,9.546812608597396,1955,57,3249,Haifa,Kiryat Shmona
8,2012-09-01,19:00,Regular Season,2,Ihud Bnei Sakhnin,FC Ashdod,11,1,Ihud Bnei Sakhnin,1,3,Haim Jakov,Doha,1000.0,2012,0,0,0,0,0,0,1,0,0,0,0,0,2012 - Regular Season - 2 - Ihud Bnei Sakhnin,2012 - Regular Season - 2 - FC Ashdod,0,1,,,9.0,0,6,,,1.0,Doha,Yud-Alef,132.6922933820839,8500.0,0.11764705882352941,6.907755278982137,9.047821442478408,2006,6,36,Sakhnin,Ashdod
9,2012-09-01,19:00,Regular Season,2,Hapoel Ramat haSharon,Hapoel Acre,6,10,Hapoel Acre,3,1,Guy Berger,Grundman,150.0,2012,0,0,0,0,0,0,1,0,0,0,0,0,2012 - Regular Season - 2 - Hapoel Ramat haSharon,2012 - Regular Season - 2 - Hapoel Acre,0,3,,,14.0,0,1,,,5.0,Grundman,Giv'at Napoleon,89.00132823977489,4700.0,0.031914893617021274,5.0106352940962555,8.45531778769815,1998,14,196,Ramat HaSharon,Acre
