,season,clubs_name,round,promoted,game,win,draw,lose,goals,g_difference,pts,team_pos,key
0,2016,Maccabi Tel Aviv,1,0,Regular Season,1,0,0,3:1,2,3,1,Regular Season - 1 - 2016 - Maccabi Tel Aviv
1,2016,Hapoel Ashkelon,1,1,Regular Season,1,0,0,3:2,1,3,2,Regular Season - 1 - 2016 - Hapoel Ashkelon
2,2016,Hapoel Beer Sheva,1,0,Regular Season,1,0,0,2:1,1,3,3,Regular Season - 1 - 2016 - Hapoel Beer Sheva
3,2016,Ironi Kiryat Shmona,1,0,Regular Season,1,0,0,1:0,1,3,4,Regular Season - 1 - 2016 - Ironi Kiryat Shmona
4,2016,Maccabi Haifa,1,0,Regular Season,1,0,0,1:0,1,3,5,Regular Season - 1 - 2016 - Maccabi Haifa
5,2016,Beitar Jerusalem,1,0,Regular Season,0,1,0,2:2,0,1,6,Regular Season - 1 - 2016 - Beitar Jerusalem
6,2016,Maccabi Petah Tikva,1,0,Regular Season,0,1,0,2:2,0,1,7,Regular Season - 1 - 2016 - Maccabi Petah Tikva
7,2016,Bnei Yehuda,1,0,Regular Season,0,1,0,1:1,0,1,8,Regular Season - 1 - 2016 - Bnei Yehuda
8,2016,Bnei Sakhnin,1,0,Regular Season,0,1,0,1:1,0,1,9,Regular Season - 1 - 2016 - Bnei Sakhnin
9,2016,Hapoel Haifa,1,0,Regular Season,0,0,1,2:3,-1,0,10,Regular Season - 1 - 2016 - Hapoel Haifa
10,2016,Hapoel Ra'anana,1,0,Regular Season,0,0,1,1:2,-1,0,11,Regular Season - 1 - 2016 - Hapoel Ra'anana
11,2016,Ashdod,1,1,Regular Season,0,0,1,0:1,-1,0,12,Regular Season - 1 - 2016 - Ashdod
12,2016,Hapoel Tel Aviv,1,0,Regular Season,0,0,1,0:1,-1,0,13,Regular Season - 1 - 2016 - Hapoel Tel Aviv
13,2016,Hapoel Kfar Saba,1,0,Regular Season,0,0,1,1:3,-2,0,14,Regular Season - 1 - 2016 - Hapoel Kfar Saba
14,2016,Maccabi Tel Aviv,2,0,Regular Season,2,0,0,5:2,3,6,1,Regular Season - 2 - 2016 - Maccabi Tel Aviv
15,2016,Hapoel Ashkelon,2,1,Regular Season,1,1,0,4:3,1,4,2,Regular Season - 2 - 2016 - Hapoel Ashkelon
16,2016,Ironi Kiryat Shmona,2,0,Regular Season,1,1,0,3:2,1,4,3,Regular Season - 2 - 2016 - Ironi Kiryat Shmona
17,2016,Maccabi Petah Tikva,2,0,Regular Season,1,1,0,3:2,1,4,4,Regular Season - 2 - 2016 - Maccabi Petah Tikva
18,2016,Hapoel Beer Sheva,2,0,Regular Season,1,1,0,2:1,1,4,5,Regular Season - 2 - 2016 - Hapoel Beer Sheva
19,2016,Bnei Sakhnin,2,0,Regular Season,1,1,0,2:1,1,4,6,Regular Season - 2 - 2016 - Bnei Sakhnin
20,2016,Hapoel Haifa,2,0,Regular Season,1,0,1,3:3,0,3,7,Regular Season - 2 - 2016 - Hapoel Haifa
