,Unnamed: 0,gameID,referee,date,timestamp,KOT,second,venueID,stadiums,city,leagueID,leagueName,country,logo,flag,season,round,homeTeamID,homeTeamName,homeTeamLogo,homeWinner,awayTeamID,awayTeamName,awayTeamLogo,awayWinner,homeGoals,awayGoals,homeHalfTimeScore,awayhomeHalfTimeScore,homeFullTimeScore,awayFullTimeScore,awayExtraTimeScore,awayPenaltyTimeScore,derby,while_world_cup,KOT_15_16,KOT_16_17,KOT_17_18,KOT_18_19,KOT_19_20,KOT_20_21,KOT_21_22,key_home,key_away,home_promoted,home_league_pts,home_pos,home_is_relegated,home_is_champion,away_promoted,away_league_pts,away_pos,away_is_relegated,away_is_champion,meanwhile_european_games
0,0,179929,None,2017-03-18,1489853700,18:15:00,1489857300,None,Winner Stadium (Netanya),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 1,604,Maccabi Tel Aviv,https://media-1.api-sports.io/football/teams/604.png,TRUE,4481,Bnei Sakhnin,https://media-4.api-sports.io/football/teams/4481.png,FALSE,3,0,0,0,3,0,None,None,0,0,0,0,0,1,0,0,0,Championship Round - 1 - 2016 - Maccabi Tel Aviv,Championship Round - 1 - 2016 - Bnei Sakhnin,0,3,2,,,0,0,5,,,1
1,1,179930,None,2017-03-18,1489861800,20:30:00,1489865400,None,HaMoshava Stadium (Pétaḥ-Tiqva (Petach-Tikva)),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 1,4495,Maccabi Petah Tikva,https://media-6.api-sports.io/football/teams/4495.png,FALSE,657,Beitar Jerusalem,https://media-2.api-sports.io/football/teams/657.png,TRUE,0,1,0,0,0,1,None,None,0,0,0,0,0,0,0,1,0,Championship Round - 1 - 2016 - Maccabi Petah Tikva,Championship Round - 1 - 2016 - Beitar Jerusalem,0,0,4,,,0,3,3,,,1
2,2,179931,None,2017-03-19,1489950000,21:00:00,1489953600,None,Yaakov Turner Toto Stadium (Be’ér Shéva (Beer Sheva) ),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 1,563,Hapoel Beer Sheva,https://media-1.api-sports.io/football/teams/563.png,TRUE,4195,Maccabi Haifa,https://media-6.api-sports.io/football/teams/4195.png,FALSE,4,0,1,0,4,0,None,None,0,0,0,0,0,0,0,0,1,Championship Round - 1 - 2016 - Hapoel Beer Sheva,Championship Round - 1 - 2016 - Maccabi Haifa,0,3,1,,,0,0,6,,,1
3,3,179932,None,2017-04-01,1491064200,19:30:00,1491067800,None,Sammy Ofer Stadium (Haifa),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 2,4195,Maccabi Haifa,https://media-6.api-sports.io/football/teams/4195.png,TRUE,657,Beitar Jerusalem,https://media-2.api-sports.io/football/teams/657.png,FALSE,3,2,2,2,3,2,None,None,0,0,0,0,0,0,1,0,0,Championship Round - 2 - 2016 - Maccabi Haifa,Championship Round - 2 - 2016 - Beitar Jerusalem,0,3,5,,,0,3,3,,,1
4,4,179933,None,2017-04-01,1491070200,21:10:00,1491073800,None,Yaakov Turner Toto Stadium (Be’ér Shéva (Beer Sheva) ),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 2,563,Hapoel Beer Sheva,https://media-6.api-sports.io/football/teams/563.png,TRUE,604,Maccabi Tel Aviv,https://media-6.api-sports.io/football/teams/604.png,FALSE,1,0,1,0,1,0,None,None,0,0,0,0,0,0,0,0,1,Championship Round - 2 - 2016 - Hapoel Beer Sheva,Championship Round - 2 - 2016 - Maccabi Tel Aviv,0,6,1,,,0,3,2,,,1
5,5,179934,None,2017-04-02,1491148800,19:00:00,1491152400,None,Doha Stadium (Sakhnin),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 2,4481,Bnei Sakhnin,https://media-6.api-sports.io/football/teams/4481.png,TRUE,4495,Maccabi Petah Tikva,https://media-6.api-sports.io/football/teams/4495.png,FALSE,1,0,0,0,1,0,None,None,0,0,0,0,0,0,1,0,0,Championship Round - 2 - 2016 - Bnei Sakhnin,Championship Round - 2 - 2016 - Maccabi Petah Tikva,0,3,4,,,0,0,6,,,1
6,6,179935,None,2017-04-08,1491672600,20:30:00,1491676200,None,Teddi Malcha Stadium (Jerusalem),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 3,657,Beitar Jerusalem,https://media-4.api-sports.io/football/teams/657.png,TRUE,4481,Bnei Sakhnin,https://media-6.api-sports.io/football/teams/4481.png,FALSE,3,0,0,0,3,0,None,None,0,0,0,0,0,0,0,1,0,Championship Round - 3 - 2016 - Beitar Jerusalem,Championship Round - 3 - 2016 - Bnei Sakhnin,0,6,3,,,0,3,4,,,1
7,7,179936,None,2017-04-09,1491757800,20:10:00,1491761400,None,HaMoshava Stadium (Pétaḥ-Tiqva (Petach-Tikva)),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 3,4495,Maccabi Petah Tikva,https://media-2.api-sports.io/football/teams/4495.png,FALSE,563,Hapoel Beer Sheva,https://media-5.api-sports.io/football/teams/563.png,TRUE,1,2,1,1,1,2,None,None,0,0,0,0,0,0,0,1,0,Championship Round - 3 - 2016 - Maccabi Petah Tikva,Championship Round - 3 - 2016 - Hapoel Beer Sheva,0,0,6,,,0,9,1,,,1
8,8,179937,None,2017-04-09,1491760800,21:00:00,1491764400,None,Winner Stadium (Netanya),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 3,604,Maccabi Tel Aviv,https://media-2.api-sports.io/football/teams/604.png,TRUE,4195,Maccabi Haifa,https://media-1.api-sports.io/football/teams/4195.png,FALSE,3,0,2,0,3,0,None,None,0,0,0,0,0,0,0,0,1,Championship Round - 3 - 2016 - Maccabi Tel Aviv,Championship Round - 3 - 2016 - Maccabi Haifa,0,6,2,,,0,3,5,,,1
9,9,179938,None,2017-04-15,1492268400,18:00:00,1492272000,None,Sammy Ofer Stadium (Haifa),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 4,4195,Maccabi Haifa,https://media-5.api-sports.io/football/teams/4195.png,FALSE,4481,Bnei Sakhnin,https://media-1.api-sports.io/football/teams/4481.png,TRUE,0,1,0,0,0,1,None,None,0,0,0,0,0,1,0,0,0,Championship Round - 4 - 2016 - Maccabi Haifa,Championship Round - 4 - 2016 - Bnei Sakhnin,0,3,5,,,0,6,4,,,1
