,Unnamed: 0,gameID,referee,timezone,date,timestamp,KOT,second,venueID,stadium,city,long,short,elapsed,leagueID,leagueName,country,logo,flag,season,round,home,homeTeamID,homeTeamName,homeTeamLogo,homeWinner,awayTeamID,awayTeamName,awayTeamLogo,awayWinner,homeGoals,awayGoals,halftime,homeHalfTimeScore,awayhomeHalfTimeScore,homeFullTimeScore,awayFullTimeScore,awayExtraTimeScore,awayPenaltyTimeScore,while_world_cup,derby,KOT_15_16,KOT_16_17,KOT_17_18,KOT_18_19,KOT_19_20,KOT_20_21,KOT_21_22,key_home,key_away,home_pos,home_league_pts,away_pos,away_league_pts,home_is_champion,away_is_champion,away_is_relegated,home_is_relegated,stadium_temp,stadium_capacity,stadium_cooradinates,stadium_age
0,0,179929,None,UTC,2017-03-18,1489853700,18:15:00,1489857300,None,Winner Stadium (Netanya),None,Match Finished,FT,90,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 1,,604,Maccabi Tel Aviv,https://media-1.api-sports.io/football/teams/604.png,True,4481,Bnei Sakhnin,https://media-4.api-sports.io/football/teams/4481.png,False,3,0,,0,0,3,0,None,None,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Championship Round - 1 - 2016 - Maccabi Tel Aviv,Championship Round - 1 - 2016 - Bnei Sakhnin,2.0,3.0,5.0,0.0,,,,,Netanya,"13,610","32.294515253117616, 34.86460536148608",11
1,1,179930,None,UTC,2017-03-18,1489861800,20:30:00,1489865400,None,HaMoshava Stadium (Pétaḥ-Tiqva (Petach-Tikva)),None,Match Finished,FT,90,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 1,,4495,Maccabi Petah Tikva,https://media-6.api-sports.io/football/teams/4495.png,False,657,Beitar Jerusalem,https://media-2.api-sports.io/football/teams/657.png,True,0,1,,0,0,0,1,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Championship Round - 1 - 2016 - Maccabi Petah Tikva,Championship Round - 1 - 2016 - Beitar Jerusalem,4.0,0.0,3.0,3.0,,,,,HaMoshava,"11,500","32.104521021410605, 34.86529951747677",12
2,2,179931,None,UTC,2017-03-19,1489950000,21:00:00,1489953600,None,Yaakov Turner Toto Stadium (Be’ér Shéva (Beer Sheva) ),None,Match Finished,FT,90,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 1,,563,Hapoel Beer Sheva,https://media-1.api-sports.io/football/teams/563.png,True,4195,Maccabi Haifa,https://media-6.api-sports.io/football/teams/4195.png,False,4,0,,1,0,4,0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Championship Round - 1 - 2016 - Hapoel Beer Sheva,Championship Round - 1 - 2016 - Maccabi Haifa,1.0,3.0,6.0,0.0,,,,,Turner,"16,126","31.27359493104871, 34.77937313773257",8
3,3,179932,None,UTC,2017-04-01,1491064200,19:30:00,1491067800,None,Sammy Ofer Stadium (Haifa),None,Match Finished,FT,90,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 2,,4195,Maccabi Haifa,https://media-6.api-sports.io/football/teams/4195.png,True,657,Beitar Jerusalem,https://media-2.api-sports.io/football/teams/657.png,False,3,2,,2,2,3,2,None,None,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Championship Round - 2 - 2016 - Maccabi Haifa,Championship Round - 2 - 2016 - Beitar Jerusalem,5.0,3.0,3.0,3.0,,,,,Sammy Ofer,"30,858","32.783144597224776, 34.96535386678275",9
4,4,179933,None,UTC,2017-04-01,1491070200,21:10:00,1491073800,None,Yaakov Turner Toto Stadium (Be’ér Shéva (Beer Sheva) ),None,Match Finished,FT,90,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 2,,563,Hapoel Beer Sheva,https://media-6.api-sports.io/football/teams/563.png,True,604,Maccabi Tel Aviv,https://media-6.api-sports.io/football/teams/604.png,False,1,0,,1,0,1,0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Championship Round - 2 - 2016 - Hapoel Beer Sheva,Championship Round - 2 - 2016 - Maccabi Tel Aviv,1.0,6.0,2.0,3.0,,,,,Turner,"16,126","31.27359493104871, 34.77937313773257",8
5,5,179934,None,UTC,2017-04-02,1491148800,19:00:00,1491152400,None,Doha Stadium (Sakhnin),None,Match Finished,FT,90,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 2,,4481,Bnei Sakhnin,https://media-6.api-sports.io/football/teams/4481.png,True,4495,Maccabi Petah Tikva,https://media-6.api-sports.io/football/teams/4495.png,False,1,0,,0,0,1,0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Championship Round - 2 - 2016 - Bnei Sakhnin,Championship Round - 2 - 2016 - Maccabi Petah Tikva,4.0,3.0,6.0,0.0,,,,,Doha,"8,500","32.866698081144584, 35.31088068308935",17
6,6,179935,None,UTC,2017-04-08,1491672600,20:30:00,1491676200,None,Teddi Malcha Stadium (Jerusalem),None,Match Finished,FT,90,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 3,,657,Beitar Jerusalem,https://media-4.api-sports.io/football/teams/657.png,True,4481,Bnei Sakhnin,https://media-6.api-sports.io/football/teams/4481.png,False,3,0,,0,0,3,0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Championship Round - 3 - 2016 - Beitar Jerusalem,Championship Round - 3 - 2016 - Bnei Sakhnin,3.0,6.0,4.0,3.0,,,,,Teddy,"31,733","31.751098227662272, 35.19086643651634",33
7,7,179936,None,UTC,2017-04-09,1491757800,20:10:00,1491761400,None,HaMoshava Stadium (Pétaḥ-Tiqva (Petach-Tikva)),None,Match Finished,FT,90,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 3,,4495,Maccabi Petah Tikva,https://media-2.api-sports.io/football/teams/4495.png,False,563,Hapoel Beer Sheva,https://media-5.api-sports.io/football/teams/563.png,True,1,2,,1,1,1,2,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Championship Round - 3 - 2016 - Maccabi Petah Tikva,Championship Round - 3 - 2016 - Hapoel Beer Sheva,6.0,0.0,1.0,9.0,,,,,HaMoshava,"11,500","32.104521021410605, 34.86529951747677",12
8,8,179937,None,UTC,2017-04-09,1491760800,21:00:00,1491764400,None,Winner Stadium (Netanya),None,Match Finished,FT,90,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 3,,604,Maccabi Tel Aviv,https://media-2.api-sports.io/football/teams/604.png,True,4195,Maccabi Haifa,https://media-1.api-sports.io/football/teams/4195.png,False,3,0,,2,0,3,0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Championship Round - 3 - 2016 - Maccabi Tel Aviv,Championship Round - 3 - 2016 - Maccabi Haifa,2.0,6.0,5.0,3.0,,,,,Netanya,"13,610","32.294515253117616, 34.86460536148608",11
9,9,179938,None,UTC,2017-04-15,1492268400,18:00:00,1492272000,None,Sammy Ofer Stadium (Haifa),None,Match Finished,FT,90,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 4,,4195,Maccabi Haifa,https://media-5.api-sports.io/football/teams/4195.png,False,4481,Bnei Sakhnin,https://media-1.api-sports.io/football/teams/4481.png,True,0,1,,0,0,0,1,None,None,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Championship Round - 4 - 2016 - Maccabi Haifa,Championship Round - 4 - 2016 - Bnei Sakhnin,5.0,3.0,4.0,6.0,,,,,Sammy Ofer,"30,858","32.783144597224776, 34.96535386678275",9
