,date,club,value,squad_s
0,01/01/2011,Maccabi Haifa,13800000,22
1,01/01/2011,Maccabi Tel Aviv,15200000,24
2,01/01/2011,Hapoel Beer Sheva,3200000,23
3,01/01/2011,Maccabi Netanya,3580000,21
4,01/01/2011,FC Ashdod,4480000,25
5,01/01/2011,Beitar Jerusalem,8350000,27
6,01/01/2011,Hapoel Haifa,4500000,22
7,01/01/2011,Hapoel Tel Aviv,19150000,25
8,01/01/2011,Ironi Kiryat Shmona,3800000,24
9,01/01/2011,Hapoel Jerusalem,0,
10,01/01/2011,Maccabi Bnei Reineh,0,
11,01/01/2011,Hapoel Hadera,0,
12,01/01/2011,Ihud Bnei Sakhnin,4930000,22
13,01/01/2011,Sekzia Ness Ziona,650000,4
14,01/01/2011,Maccabi Petah Tikva,5700000,23
15,01/01/2011,Bnei Yehuda Tel Aviv,6500000,22
16,01/01/2011,Hapoel Nof HaGalil,100000,3
17,01/01/2011,Hapoel Umm al-Fahm,75000,1
18,01/01/2011,Hapoel Ramat Gan,3800000,23
19,01/01/2011,Hapoel Rishon leZion,200000,1
20,01/01/2011,Hapoel Petah Tikva,3080000,23
21,01/01/2011,Ironi Tiberias,0,
22,01/01/2011,SC Kfar Qasem,0,
23,01/01/2011,Hapoel Kfar Saba,50000,6
24,01/01/2011,Hapoel Acre,5500000,21
25,01/01/2011,Hapoel Ramat haSharon,150000,2
26,01/01/2011,Agudat Sport Ashdod,0,
27,01/01/2011,Hapoel Afula,0,
28,15/01/2011,Maccabi Haifa,14550000,24
29,15/01/2011,Maccabi Tel Aviv,14800000,23
30,15/01/2011,Hapoel Beer Sheva,3950000,23
31,15/01/2011,Maccabi Netanya,4100000,21
32,15/01/2011,FC Ashdod,4750000,25
33,15/01/2011,Beitar Jerusalem,8350000,27
34,15/01/2011,Hapoel Haifa,4500000,22
35,15/01/2011,Hapoel Tel Aviv,17650000,24
36,15/01/2011,Ironi Kiryat Shmona,4200000,25
37,15/01/2011,Hapoel Jerusalem,0,
38,15/01/2011,Maccabi Bnei Reineh,0,
39,15/01/2011,Hapoel Hadera,0,
40,15/01/2011,Ihud Bnei Sakhnin,5130000,24
41,15/01/2011,Sekzia Ness Ziona,650000,4
42,15/01/2011,Maccabi Petah Tikva,5700000,23
43,15/01/2011,Bnei Yehuda Tel Aviv,6500000,22
44,15/01/2011,Hapoel Nof HaGalil,100000,3
45,15/01/2011,Hapoel Umm al-Fahm,75000,1
46,15/01/2011,Hapoel Ramat Gan,4350000,25
47,15/01/2011,Hapoel Rishon leZion,200000,1
48,15/01/2011,Hapoel Petah Tikva,3300000,21
49,15/01/2011,Ironi Tiberias,0,
50,15/01/2011,SC Kfar Qasem,0,
51,15/01/2011,Hapoel Kfar Saba,50000,6
52,15/01/2011,Hapoel Acre,5750000,22
53,15/01/2011,Hapoel Ramat haSharon,400000,3
54,15/01/2011,Agudat Sport Ashdod,0,
55,15/01/2011,Hapoel Afula,0,
56,01/02/2011,Maccabi Haifa,12550000,24
57,01/02/2011,Maccabi Tel Aviv,14800000,23
58,01/02/2011,Hapoel Beer Sheva,3650000,23
59,01/02/2011,Maccabi Netanya,4200000,22
60,01/02/2011,FC Ashdod,4950000,25
61,01/02/2011,Beitar Jerusalem,7100000,25
62,01/02/2011,Hapoel Haifa,4400000,21
63,01/02/2011,Hapoel Tel Aviv,16650000,23
64,01/02/2011,Ironi Kiryat Shmona,4350000,25
65,01/02/2011,Hapoel Jerusalem,0,
66,01/02/2011,Maccabi Bnei Reineh,0,
67,01/02/2011,Hapoel Hadera,0,
68,01/02/2011,Ihud Bnei Sakhnin,3850000,22
69,01/02/2011,Sekzia Ness Ziona,650000,4
70,01/02/2011,Maccabi Petah Tikva,5700000,23
71,01/02/2011,Bnei Yehuda Tel Aviv,6200000,22
72,01/02/2011,Hapoel Nof HaGalil,100000,3
73,01/02/2011,Hapoel Umm al-Fahm,75000,1
74,01/02/2011,Hapoel Ramat Gan,4050000,26
75,01/02/2011,Hapoel Rishon leZion,200000,1
76,01/02/2011,Hapoel Petah Tikva,4030000,25
77,01/02/2011,Ironi Tiberias,0,
78,01/02/2011,SC Kfar Qasem,0,
79,01/02/2011,Hapoel Kfar Saba,50000,6
80,01/02/2011,Hapoel Acre,5900000,24
81,01/02/2011,Hapoel Ramat haSharon,300000,2
82,01/02/2011,Agudat Sport Ashdod,0,
83,01/02/2011,Hapoel Afula,0,
84,15/02/2011,Maccabi Haifa,12450000,23
85,15/02/2011,Maccabi Tel Aviv,14800000,24
86,15/02/2011,Hapoel Beer Sheva,4200000,25
87,15/02/2011,Maccabi Netanya,4200000,22
88,15/02/2011,FC Ashdod,4400000,24
89,15/02/2011,Beitar Jerusalem,7600000,26
90,15/02/2011,Hapoel Haifa,4450000,21
91,15/02/2011,Hapoel Tel Aviv,16900000,23
92,15/02/2011,Ironi Kiryat Shmona,4650000,26
93,15/02/2011,Hapoel Jerusalem,0,
94,15/02/2011,Maccabi Bnei Reineh,0,
95,15/02/2011,Hapoel Hadera,0,
